cells	samples	cell.types
Cy72_CD45_B06_S690_comb	Mel72	T.cell
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D07_S235_comb	Mel79	T.CD8
cy94_cd45pos_A06_S102_comb	Mel94	T.cell
cy53_1_CD45_pos_2_A09_S969_comb	Mel53	T.cell
cy80_CD45_neg_A05_S389_comb	Mel80	T.CD4
cy80_CD45_neg_D03_S423_comb	Mel80	T.cell
cy94_cd45pos_4_D01_S37_comb	Mel94	T.cell
cy60_1_cd_45_pos_3_D01_S325_comb	Mel60	T.CD4
cy82_CD45_pos_2_A07_S487_comb	Mel82	T.CD8
CY89A_CD45_POS_6_G02_S170_comb	Mel89	T.CD4
cy53_1_CD45_pos_1_F06_S66_comb	Mel53	T.CD8
cy53_1_CD45_pos_1_G06_S78_comb	Mel53	T.cell
CY88CD45_150813_E01_S337_comb	Mel88	T.CD8
cy53_1_CD45_pos_2_G05_S1037_comb	Mel53	T.CD4
cy74_CD45_pos_E02_S722_comb	Mel74	T.CD8
CY94CD45POS_1_D09_S141_comb	Mel94	T.cell
cy58_1_CD45_pos_F03_S639_comb	Mel58	T.CD8
cy88_cd_45_pos_B07_S403_comb	Mel88	T.CD8
cy88_cd45pos_5_F05_S257_comb	Mel88	T.cell
CY89A_Core_15_G06_S78_comb	Mel89	T.CD8
CY88CD45POS_7_D05_S233_comb	Mel88	T.CD4
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F09_S453_comb	Mel79	T.CD8
cy94_cd45pos_4_H02_S86_comb	Mel94	T.cell
cy53_1_CD45_neg_D02_S326_comb	Mel53	T.CD8
cy80_CD45_pos_PD1_pos_A06_S102_comb	Mel80	T.CD4
cy84_Primary_CD45_pos_H02_S470_comb	Mel84	T.CD4
CY88CD45_150813_E03_S339_comb	Mel88	T.CD8
CY88CD45_150813_E06_S342_comb	Mel88	T.cell
cy58_1_CD45_pos_C09_S609_comb	Mel58	T.CD8
cy60_1_cd_45_pos_3_A02_S290_comb	Mel60	T.CD8
CY89A_CD45_POS_10_H07_S283_comb	Mel89	T.CD4
cy80_Cd45_pos_PD1_pos_S137_F05_S137_comb	Mel80	T.cell
cy79_p4_CD45_pos_PD1_pos_E09_S345_comb	Mel79	T.cell
cy84_Primary_CD45_pos_B11_S407_comb	Mel84	T.CD4
cy80_CD45_pos_PD1_pos_H03_S183_comb	Mel80	T.CD4
cy80_Cd45_pos_Pd1_neg_S340_G04_S340_comb	Mel80	T.CD4
cy79_p5_CD45_pos_PD1_pos_G05_S653_comb	Mel79	T.CD8
cy88_cd_45_pos_C09_S417_comb	Mel88	T.CD4
CY88CD45_150813_G02_S362_comb	Mel88	T.cell
Cy74_CD45_B03_S399_comb	Mel74	T.cell
Cy74_CD45_F08_S452_comb	Mel74	T.CD8
cy80_Cd45_pos_Pd1_neg_S224_B08_S224_comb	Mel80	T.CD8
cy79_p5_CD45_pos_PD1_pos_H07_S667_comb	Mel79	T.CD8
CY89A_CD45_POS_6_B08_S116_comb	Mel89	T.CD8
CY89A_CD45_POS_6_B02_S110_comb	Mel89	T.CD8
Cy72_CD45_D01_S709_comb	Mel72	T.cell
CY89A_CD45_POS_6_G03_S171_comb	Mel89	T.cell
Cy74_CD45_G01_S457_comb	Mel74	T.cell
cy88_cd_45_pos_C07_S415_comb	Mel88	T.CD8
Cy74_CD45_F02_S446_comb	Mel74	T.CD8
Cy81_FNA_CD45_B08_S212_comb	Mel81	T.cell
Cy71_CD45_D12_S528_comb	Mel71	T.CD8
cy79_p3_CD45_pos_PD1_neg_F09_S165_comb	Mel79	T.CD4
cy74_CD45_pos_G11_S755_comb	Mel74	T.CD8
cy72_CD45_pos_C07_S895_comb	Mel72	T.CD4
cy80_Cd45_pos_PD1_pos_A09_S21_comb	Mel80	T.cell
cy88_cd_45_pos_E01_S433_comb	Mel88	T.CD8
cy58_1_CD45_pos_G09_S657_comb	Mel58	T.CD8
cy60_1_cd_45_pos_4_E09_S57_comb	Mel60	T.CD4
CY94CD45POS_1_E12_S156_comb	Mel94	T.CD4
cy79_p5_CD45_pos_PD1_pos_D03_S615_comb	Mel79	T.CD8
cy58_1_CD45_pos_B07_S595_comb	Mel58	T.CD4
cy58_1_CD45_pos_D03_S615_comb	Mel58	T.cell
cy72_CD45_pos_D10_S910_comb	Mel72	T.CD4
cy82_CD45_pos_2_A05_S485_comb	Mel82	T.CD4
cy60_1_cd_45_pos_3_G04_S364_comb	Mel60	T.cell
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G11_S275_comb	Mel79	T.CD8
cy80_Cd45_pos_PD1_pos_S135_F03_S135_comb	Mel80	T.CD8
cy60_1_cd_45_pos_4_C10_S34_comb	Mel60	T.CD4
cy74_CD45_pos_C03_S699_comb	Mel74	T.CD8
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_A10_S202_comb	Mel79	T.CD8
cy88_cd_45_pos_G02_S458_comb	Mel88	T.CD4
cy58_1_CD45_pos_C11_S611_comb	Mel58	T.CD4
cy60_1_cd_45_pos_4_E02_S50_comb	Mel60	T.CD8
cy58_1_CD45_pos_G04_S652_comb	Mel58	T.CD4
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_C07_S223_comb	Mel79	T.CD8
cy94_cd45pos_A10_S106_comb	Mel94	T.CD8
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_F10_S262_comb	Mel79	T.CD8
cy88_cd_45_pos_H10_S478_comb	Mel88	T.cell
cy88_cd45pos_5_C03_S219_comb	Mel88	T.CD4
CY89A_Core_15_C08_S32_comb	Mel89	T.cell
Cy74_CD45_H06_S474_comb	Mel74	T.CD8
CY89A_Core_15_C09_S33_comb	Mel89	T.CD8
cy80_Cd45_pos_PD1_pos_B01_S37_comb	Mel80	T.CD8
Cy72_CD45_H06_S762_comb	Mel72	T.cell
cy80_CD45_neg_E04_S436_comb	Mel80	T.CD4
cy58_1_CD45_pos_H08_S668_comb	Mel58	T.CD4
cy94_cd45neg_cd90pos_D02_S326_comb	Mel94	T.CD4
CY89A_CD45_POS_6_D02_S134_comb	Mel89	T.CD8
CY88CD45POS_2_D03_S423_comb	Mel88	T.CD4
cy72_CD45_pos_D07_S907_comb	Mel72	T.CD4
CY88CD45_150813_G07_S367_comb	Mel88	T.CD4
cy79_p5_CD45_pos_PD1_pos_C07_S607_comb	Mel79	T.cell
cy84_Primary_CD45_pos_E04_S436_comb	Mel84	T.cell
CY84_PRIM_POS_ALL_7_B11_S215_comb	Mel84	T.CD8
cy74_CD45_pos_C07_S703_comb	Mel74	T.CD8
cy80_Cd45_pos_PD1_pos_S140_F08_S140_comb	Mel80	T.CD8
cy60_1_cd_45_pos_3_H04_S376_comb	Mel60	T.CD8
cy79_p4_CD45_pos_PD1_pos_E07_S343_comb	Mel79	T.CD8
cy82_CD45_pos_1_F08_S548_comb	Mel82	T.cell
CY75_1FNA_F01_S541_comb	Mel75	T.CD4
cy80_CD45_neg_H03_S471_comb	Mel80	T.CD4
cy80_CD45_neg_G01_S457_comb	Mel80	T.CD8
CY89A_Core_15_H12_S96_comb	Mel89	T.cell
cy88_cd_45_pos_F07_S451_comb	Mel88	T.CD8
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B08_S404_comb	Mel79	T.CD8
CY94CD45POS_1_B09_S117_comb	Mel94	T.CD4
CY89A_CD45_POS_6_D10_S142_comb	Mel89	T.CD8
cy88_cd_45_pos_H07_S475_comb	Mel88	T.CD8
Cy72_CD45_G01_S745_comb	Mel72	T.cell
cy79_p4_CD45_pos_PD1_pos_F01_S349_comb	Mel79	T.CD8
cy84_Primary_CD45_pos_D10_S430_comb	Mel84	T.CD8
cy53_1_CD45_pos_2_H08_S1052_comb	Mel53	T.CD8
cy80_CD45_neg_C12_S420_comb	Mel80	T.CD8
cy80_Cd45_pos_PD1_pos_B07_S43_comb	Mel80	T.CD8
Cy74_CD45_H12_S480_comb	Mel74	T.cell
cy79_p4_CD45_pos_PD1_pos_C10_S322_comb	Mel79	T.CD4
CY58_1_CD45_G11_S1043_comb	Mel58	T.CD8
cy94_cd45neg_cd90pos_C03_S315_comb	Mel94	T.CD4
cy58_1_CD45_pos_E08_S632_comb	Mel58	T.CD8
CY89COREQ1_B04_S304_comb	Mel89	T.cell
cy80_CD45_neg_A12_S396_comb	Mel80	T.CD8
CY89FNA_A02_S194_comb	Mel89	T.CD4
CY58_1_CD45_D04_S1000_comb	Mel58	T.cell
Cy72_CD45_A11_S683_comb	Mel72	T.CD4
CY89A_Core_15_B05_S17_comb	Mel89	T.CD4
CY94CD45POS_1_H01_S181_comb	Mel94	T.CD4
Cy81_FNA_CD45_C11_S227_comb	Mel81	T.CD4
cy80_Cd45_pos_Pd1_neg_S265_D01_S265_comb	Mel80	T.CD8
cy94_cd45pos_D05_S137_comb	Mel94	T.CD8
Cy71_CD45_F03_S543_comb	Mel71	T.CD8
CY89COREQ1_C03_S315_comb	Mel89	T.CD8
cy72_CD45_pos_A05_S869_comb	Mel72	T.CD4
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F12_S456_comb	Mel79	T.CD8
CY88CD45POS_2_D11_S431_comb	Mel88	T.CD4
Cy72_CD45_E10_S730_comb	Mel72	T.cell
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_B09_S213_comb	Mel79	T.cell
cy60_1_cd_45_pos_4_B11_S23_comb	Mel60	T.CD4
CY58_1_CD45_F09_S1029_comb	Mel58	T.cell
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B12_S408_comb	Mel79	T.CD4
cy60_1_cd_45_pos_3_C07_S319_comb	Mel60	T.CD4
cy79_p5_CD45_pos_PD1_pos_G12_S660_comb	Mel79	T.CD8
CY94CD45POS_1_A09_S105_comb	Mel94	T.CD4
cy79_p5_CD45_pos_PD1_pos_E04_S628_comb	Mel79	T.CD8
cy72_CD45_pos_E04_S916_comb	Mel72	T.CD4
cy60_1_cd_45_pos_3_H12_S384_comb	Mel60	T.CD8
cy79_p5_CD45_pos_PD1_pos_B08_S596_comb	Mel79	T.CD8
CY89COREQ1_D01_S325_comb	Mel89	T.cell
cy80_CD45_neg_F04_S448_comb	Mel80	T.CD4
CY58_1_CD45_E05_S1013_comb	Mel58	T.CD8
Cy71_CD45_C01_S505_comb	Mel71	T.CD4
cy80_Cd45_pos_Pd1_neg_S364_H04_S364_comb	Mel80	T.CD4
CY58_1_CD45_F04_S1024_comb	Mel58	T.CD8
cy94_cd45pos_B11_S119_comb	Mel94	T.CD8
cy79_p4_CD45_pos_PD1_pos_F04_S352_comb	Mel79	T.CD8
cy74_CD45_pos_E03_S723_comb	Mel74	T.CD8
cy53_1_CD45_pos_2_G02_S1034_comb	Mel53	T.CD4
CY58_1_CD45_F12_S1032_comb	Mel58	T.CD8
CY89COREQ1_D03_S327_comb	Mel89	T.cell
cy80_Cd45_pos_PD1_pos_S190_H10_S190_comb	Mel80	T.CD8
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H12_S288_comb	Mel79	T.cell
cy79_p5_CD45_pos_PD1_pos_H06_S666_comb	Mel79	T.CD8
cy74_CD45_pos_A05_S677_comb	Mel74	T.cell
cy79_p5_CD45_pos_PD1_pos_F02_S638_comb	Mel79	T.CD8
CY58_1_CD45_G09_S1041_comb	Mel58	T.cell
cy84_Primary_CD45_pos_B07_S403_comb	Mel84	T.CD8
cy94_cd45pos_4_A02_S2_comb	Mel94	T.CD8
cy58_1_CD45_pos_F10_S646_comb	Mel58	T.CD8
Cy81_FNA_CD45_F04_S256_comb	Mel81	T.CD8
cy94_cd45pos_D08_S140_comb	Mel94	B.cell
cy79_p4_CD45_pos_PD1_pos_G05_S365_comb	Mel79	T.CD8
cy84_Primary_CD45_pos_D11_S431_comb	Mel84	T.CD4
CY94CD45POS_1_G04_S172_comb	Mel94	T.cell
cy72_CD45_pos_C06_S894_comb	Mel72	T.cell
cy58_1_CD45_pos_H09_S669_comb	Mel58	T.CD8
cy60_1_cd_45_pos_4_D10_S46_comb	Mel60	T.CD8
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_G04_S460_comb	Mel79	T.CD4
Cy74_CD45_G04_S460_comb	Mel74	T.CD8
cy72_CD45_pos_D08_S908_comb	Mel72	T.cell
cy94_cd45pos_4_C11_S35_comb	Mel94	T.CD4
CY89A_Core_15_A01_S1_comb	Mel89	T.CD8
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B01_S397_comb	Mel79	T.CD8
cy88_cd_45_pos_H11_S479_comb	Mel88	T.CD8
CY89COREQ1_E02_S338_comb	Mel89	T.CD8
CY58_1_CD45_C03_S987_comb	Mel58	T.cell
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_E01_S433_comb	Mel79	T.CD8
CY89A_Core_15_G07_S79_comb	Mel89	T.CD4
CY94CD45POS_1_H02_S182_comb	Mel94	T.CD4
cy80_Cd45_pos_Pd1_neg_S337_G01_S337_comb	Mel80	T.CD8
CY88CD45POS_7_F01_S253_comb	Mel88	T.CD8
cy60_1_cd_45_pos_3_B06_S306_comb	Mel60	T.CD4
cy60_1_cd_45_pos_3_F08_S356_comb	Mel60	T.cell
cy79_p4_CD45_pos_PD1_pos_G02_S362_comb	Mel79	T.CD8
CY89FNA_G10_S274_comb	Mel89	T.cell
CY88CD45POS_7_H05_S281_comb	Mel88	T.cell
Cy72_CD45_F05_S737_comb	Mel72	T.CD4
cy84_Primary_CD45_pos_B09_S405_comb	Mel84	T.CD4
CY89A_CD45_POS_6_D04_S136_comb	Mel89	T.CD8
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B03_S399_comb	Mel79	T.CD8
CY88CD45POS_7_G05_S269_comb	Mel88	T.CD4
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_B08_S212_comb	Mel79	T.cell
cy60_1_cd_45_pos_3_C03_S315_comb	Mel60	T.CD8
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_B02_S206_comb	Mel79	T.CD4
Cy74_CD45_D03_S423_comb	Mel74	T.CD4
cy72_CD45_pos_B02_S878_comb	Mel72	T.CD8
cy53_1_CD45_pos_2_B01_S973_comb	Mel53	T.CD8
cy94_cd45pos_4_C01_S25_comb	Mel94	T.CD4
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_C10_S418_comb	Mel79	T.CD8
cy53_1_CD45_pos_2_B05_S977_comb	Mel53	T.CD4
cy80_Cd45_pos_PD1_pos_D11_S95_comb	Mel80	T.CD4
cy53_1_CD45_pos_1_D10_S46_comb	Mel53	T.CD4
Cy74_CD45_G03_S459_comb	Mel74	T.cell
CY89COREQ1_D10_S334_comb	Mel89	T.CD8
cy80_Cd45_pos_PD1_pos_A06_S18_comb	Mel80	T.CD4
Cy81_FNA_CD45_A07_S199_comb	Mel81	T.cell
CY89FNA_C08_S224_comb	Mel89	T.CD8
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_D02_S422_comb	Mel79	T.CD8
CY88CD45_150813_G05_S365_comb	Mel88	T.cell
cy53_1_CD45_pos_2_F07_S1027_comb	Mel53	T.CD4
cy94_cd45pos_4_H09_S93_comb	Mel94	T.cell
cy53_1_CD45_pos_2_D04_S1000_comb	Mel53	T.CD8
CY89A_CD45_POS_10_G06_S270_comb	Mel89	T.CD8
cy79_p4_CD45_pos_PD1_pos_F02_S350_comb	Mel79	T.CD8
cy80_Cd45_pos_Pd1_neg_S243_C03_S243_comb	Mel80	T.CD4
cy74_CD45_pos_G07_S751_comb	Mel74	T.CD8
cy82_CD45_pos_1_H09_S573_comb	Mel82	T.CD4
cy53_1_CD45_pos_1_C09_S33_comb	Mel53	T.CD8
cy80_Cd45_pos_PD1_pos_A07_S19_comb	Mel80	T.cell
Cy72_CD45_B05_S689_comb	Mel72	T.cell
cy88_cd_45_pos_H06_S474_comb	Mel88	T.cell
cy53_1_CD45_pos_2_A02_S962_comb	Mel53	T.CD4
cy74_CD45_pos_F03_S735_comb	Mel74	T.CD8
cy84_Met_CD45_pos_B02_S878_comb	Mel84	T.CD4
CY58_1_CD45_A07_S967_comb	Mel58	T.CD8
cy80_CD45_pos_PD1_pos_C03_S123_comb	Mel80	T.CD4
CY89A_Core_15_G01_S73_comb	Mel89	T.CD8
CY88CD45POS_7_G07_S271_comb	Mel88	T.CD8
cy78_CD45_neg_2_A06_S582_comb	Mel78	T.cell
cy80_Cd45_pos_Pd1_neg_S226_B10_S226_comb	Mel80	T.CD8
cy80_CD45_pos_PD1_pos_F04_S160_comb	Mel80	NK
cy80_Cd45_pos_PD1_pos_S166_G10_S166_comb	Mel80	T.CD4
cy80_CD45_neg_A11_S395_comb	Mel80	T.CD8
CY58_1_CD45_F03_S1023_comb	Mel58	T.CD4
CY94CD45POS_1_A02_S98_comb	Mel94	T.cell
cy53_1_CD45_pos_1_D04_S40_comb	Mel53	T.CD8
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_F09_S261_comb	Mel79	T.CD8
CY89FNA_D07_S235_comb	Mel89	T.CD8
cy80_CD45_pos_PD1_pos_D02_S134_comb	Mel80	T.CD4
CY89COREQ1_D11_S335_comb	Mel89	T.CD8
cy80_Cd45_pos_Pd1_neg_S225_B09_S225_comb	Mel80	T.CD4
cy74_CD45_pos_F01_S733_comb	Mel74	T.CD8
cy79_p5_CD45_pos_PD1_pos_D04_S616_comb	Mel79	T.CD8
CY89A_CD45_POS_10_A10_S202_comb	Mel89	T.cell
cy80_CD45_pos_PD1_pos_C01_S121_comb	Mel80	T.cell
cy82_CD45_pos_2_A12_S492_comb	Mel82	T.CD8
cy79_p5_CD45_pos_PD1_pos_G08_S656_comb	Mel79	T.CD8
CY89FNA_G02_S266_comb	Mel89	T.CD8
cy80_Cd45_pos_PD1_pos_S144_F12_S144_comb	Mel80	T.CD4
cy60_1_cd_45_pos_3_E02_S338_comb	Mel60	T.CD4
Cy74_CD45_G08_S464_comb	Mel74	T.cell
cy79_p4_CD45_pos_PD1_pos_D06_S330_comb	Mel79	T.CD4
cy72_CD45_pos_B04_S880_comb	Mel72	T.CD4
cy79_p5_CD45_pos_PD1_pos_E10_S634_comb	Mel79	T.CD8
cy88_cd45pos_5_G02_S266_comb	Mel88	T.CD4
cy74_CD45_pos_C11_S707_comb	Mel74	T.CD4
cy84_Met_CD45_pos_B07_S883_comb	Mel84	T.cell
CY89A_Core_15_F12_S72_comb	Mel89	T.cell
cy94_cd45pos_D06_S138_comb	Mel94	T.CD4
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D08_S236_comb	Mel79	T.CD8
Cy72_CD45_F02_S734_comb	Mel72	T.CD4
Cy74_CD45_E08_S440_comb	Mel74	T.CD8
Cy81_FNA_CD45_C02_S218_comb	Mel81	T.CD4
CY58_1_CD45_A04_S964_comb	Mel58	T.CD8
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_F05_S257_comb	Mel79	T.CD8
cy82_CD45_pos_2_B02_S494_comb	Mel82	T.cell
cy53_1_CD45_pos_1_B07_S19_comb	Mel53	T.CD8
cy94_cd45pos_G10_S178_comb	Mel94	T.CD8
cy94_cd45pos_A01_S97_comb	Mel94	T.CD4
cy74_CD45_pos_E09_S729_comb	Mel74	T.CD8
cy60_1_cd_45_pos_4_D06_S42_comb	Mel60	T.CD8
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F03_S447_comb	Mel79	T.CD8
cy84_Primary_CD45_pos_B10_S406_comb	Mel84	T.CD4
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H01_S1045_comb	Mel60	T.CD8
CY88CD45POS_2_C05_S413_comb	Mel88	T.CD4
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F10_S454_comb	Mel79	T.CD8
CY75_1FNA_E11_S539_comb	Mel75	T.CD8
CY88CD45_150813_G09_S369_comb	Mel88	T.CD8
CY88CD45_150813_E11_S347_comb	Mel88	T.CD4
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H07_S283_comb	Mel79	T.CD8
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_F03_S255_comb	Mel79	T.CD4
cy72_CD45_pos_F09_S933_comb	Mel72	T.CD4
cy53_1_CD45_pos_2_G01_S1033_comb	Mel53	T.CD4
Cy74_CD45_G07_S463_comb	Mel74	T.CD8
cy79_p5_CD45_pos_PD1_pos_E01_S625_comb	Mel79	T.CD8
cy60_1_cd_45_pos_4_D07_S43_comb	Mel60	T.CD4
cy58_1_CD45_pos_B05_S593_comb	Mel58	T.cell
cy58_1_CD45_pos_A10_S586_comb	Mel58	T.cell
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H10_S574_comb	Mel79	T.CD8
CY94CD45POS_1_F02_S158_comb	Mel94	T.cell
CY89FNA_A01_S193_comb	Mel89	T.CD8
CY89A_Core_15_G11_S83_comb	Mel89	T.CD8
CY75_1FNA_H08_S572_comb	Mel75	T.CD8
cy94_cd45pos_4_H04_S88_comb	Mel94	T.CD4
cy80_CD45_neg_H07_S475_comb	Mel80	T.CD8
Cy81_FNA_CD45_A05_S197_comb	Mel81	T.CD4
cy80_Cd45_pos_PD1_pos_S142_F10_S142_comb	Mel80	T.cell
cy74_CD45_pos_A07_S679_comb	Mel74	T.CD8
cy80_CD45_pos_PD1_pos_F01_S157_comb	Mel80	T.CD4
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E07_S1015_comb	Mel60	T.cell
Cy81_FNA_CD45_A08_S200_comb	Mel81	T.CD4
CY88CD45POS_7_F07_S259_comb	Mel88	T.CD4
cy80_CD45_pos_PD1_pos_H07_S187_comb	Mel80	T.CD8
cy79_p4_CD45_pos_PD1_pos_G03_S363_comb	Mel79	T.CD8
cy94_cd45pos_G12_S180_comb	Mel94	T.CD8
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_E05_S437_comb	Mel79	T.cell
cy80_CD45_pos_PD1_pos_C05_S125_comb	Mel80	T.cell
cy94_cd45pos_G08_S176_comb	Mel94	T.CD4
CY94CD45POS_1_C12_S132_comb	Mel94	T.CD4
cy53_1_CD45_pos_1_A11_S11_comb	Mel53	T.CD4
Cy74_CD45_B06_S402_comb	Mel74	T.CD4
cy79_p5_CD45_pos_PD1_pos_F03_S639_comb	Mel79	T.CD8
cy60_1_cd_45_pos_4_G07_S79_comb	Mel60	T.CD4
Cy74_CD45_H02_S470_comb	Mel74	T.CD8
cy79_p4_CD45_pos_PD1_pos_E01_S337_comb	Mel79	T.CD4
CY58_1_CD45_B08_S980_comb	Mel58	T.CD8
cy58_1_CD45_pos_C06_S606_comb	Mel58	T.cell
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_E08_S440_comb	Mel79	T.CD4
CY89COREQ1_A08_S296_comb	Mel89	T.CD8
cy79_p4_CD45_pos_PD1_pos_F03_S351_comb	Mel79	B.cell
Cy72_CD45_F07_S739_comb	Mel72	T.cell
cy88_cd_45_pos_3_F09_S645_comb	Mel88	T.cell
cy72_CD45_pos_F04_S928_comb	Mel72	T.CD8
Cy71_CD45_C08_S512_comb	Mel71	T.CD8
cy80_CD45_pos_PD1_pos_C12_S132_comb	Mel80	T.CD4
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_E07_S439_comb	Mel79	T.CD8
cy58_1_CD45_pos_D01_S613_comb	Mel58	T.CD4
CY75_1FNA_E12_S540_comb	Mel75	T.CD4
cy53_1_CD45_pos_2_F04_S1024_comb	Mel53	T.CD4
CY94CD45POS_1_G07_S175_comb	Mel94	B.cell
cy79_p4_CD45_pos_PD1_pos_G12_S372_comb	Mel79	T.CD8
cy58_1_CD45_pos_A02_S578_comb	Mel58	T.cell
CY88CD45POS_7_E01_S241_comb	Mel88	T.CD4
cy80_Cd45_pos_PD1_pos_S110_E02_S110_comb	Mel80	T.cell
cy94_cd45pos_G02_S170_comb	Mel94	T.CD4
cy53_1_CD45_pos_2_E07_S1015_comb	Mel53	T.CD4
Cy74_CD45_C06_S414_comb	Mel74	T.CD8
cy80_CD45_neg_C05_S413_comb	Mel80	T.CD8
cy58_1_CD45_pos_E02_S626_comb	Mel58	T.CD8
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D02_S518_comb	Mel79	T.CD4
Cy81_FNA_CD45_F10_S262_comb	Mel81	T.CD8
Cy74_CD45_E02_S434_comb	Mel74	T.CD8
cy80_CD45_pos_PD1_pos_B09_S117_comb	Mel80	T.CD4
CY75_1FNA_A03_S483_comb	Mel75	T.CD8
cy80_Cd45_pos_PD1_pos_C11_S71_comb	Mel80	T.CD8
cy79_p4_CD45_pos_PD1_pos_H03_S375_comb	Mel79	T.CD8
Cy81_FNA_CD45_B01_S205_comb	Mel81	T.CD8
cy79_p5_CD45_pos_PD1_pos_B01_S589_comb	Mel79	T.CD8
CY58_1_CD45_D06_S1002_comb	Mel58	T.CD8
Cy72_CD45_D04_S712_comb	Mel72	T.CD4
cy80_Cd45_pos_PD1_pos_D09_S93_comb	Mel80	T.cell
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_C01_S217_comb	Mel79	T.CD8
Cy72_CD45_C12_S708_comb	Mel72	T.CD8
cy80_Cd45_pos_PD1_pos_B08_S44_comb	Mel80	T.CD8
Cy72_CD45_E04_S724_comb	Mel72	T.cell
cy79_p4_CD45_neg_PDL1_pos_B05_S401_comb	Mel79	T.CD8
cy58_1_CD45_pos_F01_S637_comb	Mel58	T.CD8
CY89A_CD45_POS_10_H04_S280_comb	Mel89	T.CD8
cy53_1_CD45_pos_1_E07_S55_comb	Mel53	T.CD4
cy72_CD45_pos_B10_S886_comb	Mel72	T.CD4
cy53_1_CD45_pos_1_C06_S30_comb	Mel53	T.cell
cy79_p3_CD45_pos_PD1_neg_C09_S129_comb	Mel79	T.CD4
CY89COREQ1_D06_S330_comb	Mel89	T.CD4
Cy81_FNA_CD45_B02_S206_comb	Mel81	T.CD8
cy80_CD45_pos_PD1_pos_H09_S189_comb	Mel80	T.CD8
cy88_cd_45_pos_3_C09_S609_comb	Mel88	T.cell
CY89A_Core_15_G10_S82_comb	Mel89	T.CD8
cy80_Cd45_pos_PD1_pos_S184_H04_S184_comb	Mel80	T.CD8
cy80_Cd45_pos_Pd1_neg_S290_E02_S290_comb	Mel80	T.CD4
Cy74_CD45_D10_S430_comb	Mel74	T.CD8
cy72_CD45_pos_F06_S930_comb	Mel72	T.CD4
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E10_S1018_comb	Mel60	T.CD8
Cy72_CD45_D11_S719_comb	Mel72	T.CD8
cy84_Primary_CD45_pos_G05_S461_comb	Mel84	T.cell
cy80_Cd45_pos_PD1_pos_B12_S48_comb	Mel80	T.CD4
cy88_cd_45_pos_3_B09_S597_comb	Mel88	T.cell
Cy72_CD45_H03_S759_comb	Mel72	T.CD8
cy58_1_CD45_pos_D02_S614_comb	Mel58	T.CD8
cy72_CD45_pos_E09_S921_comb	Mel72	T.CD4
Cy81_FNA_CD45_H02_S278_comb	Mel81	T.cell
cy79_p5_CD45_pos_PD1_pos_D06_S618_comb	Mel79	T.CD4
CY89A_CD45_POS_6_C02_S122_comb	Mel89	T.CD4
cy60_1_cd_45_pos_4_H03_S87_comb	Mel60	T.cell
cy80_CD45_pos_PD1_pos_B03_S111_comb	Mel80	T.CD4
cy94_cd45pos_4_A09_S9_comb	Mel94	T.CD8
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_A10_S394_comb	Mel79	T.CD8
CY88CD45POS_7_B03_S207_comb	Mel88	T.CD4
cy80_CD45_pos_PD1_pos_E10_S154_comb	Mel80	T.CD4
cy79_p5_CD45_pos_PD1_pos_C05_S605_comb	Mel79	T.CD8
CY89A_CD45_POS_6_B10_S118_comb	Mel89	T.cell
CY89COREQ1_C04_S316_comb	Mel89	T.CD8
CY89A_Core_15_F01_S61_comb	Mel89	T.cell
