method	class	precision	recall	f1_score	support	specificity	Cell Labels	category	dataset
scPred	IMMUNE	0.998370451	0.995127233	0.996746204	1847	0.998277842	IMMUNE	Immune	Glioblastoma
scPred	NEOPLASTIC	0.983606557	0.989917507	0.986751942	1091	0.992794235	NEOPLASTIC	Tumour	Glioblastoma
scPred	NEURON	0.952380952	0.952380952	0.952380952	21	0.999719731	NEURON	Brain	Glioblastoma
scPred	OLIGODENDROCYTE	1	0.964705882	0.982035928	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
scPred	OPC	1	0.977832512	0.98879203	406	1	OPC	Brain	Glioblastoma
scPred	UNLABELED	0	0	0	0	0.994427417			Glioblastoma
scPred	VASCULAR	1	0.980392157	0.99009901	51	1	VASCULAR	Vascular	Glioblastoma
CaSTLe	ASTOCYTE	1	0.886363636	0.939759036	88	1	ASTOCYTE	Brain	Glioblastoma
CaSTLe	IMMUNE	0.994057266	0.99621007	0.995132504	1847	0.993685419	IMMUNE	Immune	Glioblastoma
CaSTLe	NEOPLASTIC	0.958480565	0.994500458	0.976158345	1091	0.981184948	NEOPLASTIC	Tumour	Glioblastoma
CaSTLe	NEURON	1	0.80952381	0.894736842	21	1	NEURON	Brain	Glioblastoma
CaSTLe	OLIGODENDROCYTE	1	0.905882353	0.950617284	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
CaSTLe	OPC	0.997461929	0.967980296	0.9825	406	0.999685831	OPC	Brain	Glioblastoma
CaSTLe	VASCULAR	1	0.784313725	0.879120879	51	1	VASCULAR	Vascular	Glioblastoma
CHETAH	ASTOCYTE	0.988095238	0.943181818	0.965116279	88	0.999714367	ASTOCYTE	Brain	Glioblastoma
CHETAH	IMMUNE	0.998844598	0.936112615	0.96646171	1847	0.998851894	IMMUNE	Immune	Glioblastoma
CHETAH	NEOPLASTIC	0.997944502	0.890009166	0.940891473	1091	0.999199359	NEOPLASTIC	Tumour	Glioblastoma
CHETAH	NEURON	1	0.952380952	0.975609756	21	1	NEURON	Brain	Glioblastoma
CHETAH	OLIGODENDROCYTE	1	0.941176471	0.96969697	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
CHETAH	OPC	1	0.928571429	0.962962963	406	1	OPC	Brain	Glioblastoma
CHETAH	UNLABELED	0	0	0	0	0.922819727			Glioblastoma
CHETAH	VASCULAR	1	0.921568627	0.959183673	51	1	VASCULAR	Vascular	Glioblastoma
scID	ASTOCYTE	0.010666667	0.090909091	0.019093079	88	0.788060554	ASTOCYTE	Brain	Glioblastoma
scID	IMMUNE	0.995054945	0.980508933	0.987728388	1847	0.994833525	IMMUNE	Immune	Glioblastoma
scID	NEOPLASTIC	0.892445583	0.638863428	0.74465812	1091	0.966373098	NEOPLASTIC	Tumour	Glioblastoma
scID	NEURON	1	0.285714286	0.444444444	21	1	NEURON	Brain	Glioblastoma
scID	OLIGODENDROCYTE	1	0.529411765	0.692307692	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
scID	OPC	1	0.216748768	0.356275304	406	1	OPC	Brain	Glioblastoma
scID	UNLABELED	0	0	0	0	0.982167735			Glioblastoma
scID	VASCULAR	1	0.68627451	0.813953488	51	1	VASCULAR	Vascular	Glioblastoma
scmapcell	ASTOCYTE	1	0.840909091	0.913580247	88	1	ASTOCYTE	Brain	Glioblastoma
scmapcell	IMMUNE	0.998361551	0.989713048	0.994018488	1847	0.998277842	IMMUNE	Immune	Glioblastoma
scmapcell	NEOPLASTIC	0.984267453	0.917506874	0.94971537	1091	0.993594876	NEOPLASTIC	Tumour	Glioblastoma
scmapcell	NEURON	0.923076923	0.571428571	0.705882353	21	0.999719731	NEURON	Brain	Glioblastoma
scmapcell	OLIGODENDROCYTE	1	0.858823529	0.924050633	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
scmapcell	OPC	1	0.935960591	0.96692112	406	1	OPC	Brain	Glioblastoma
scmapcell	UNLABELED	0	0	0	0	0.949010867			Glioblastoma
scmapcell	VASCULAR	1	0.352941176	0.52173913	51	1	VASCULAR	Vascular	Glioblastoma
scmapcluster	ASTOCYTE	1	0.818181818	0.9	88	1	ASTOCYTE	Brain	Glioblastoma
scmapcluster	IMMUNE	0.999201278	0.677314564	0.807357212	1847	0.999425947	IMMUNE	Immune	Glioblastoma
scmapcluster	NEOPLASTIC	0.988993711	0.576535289	0.728430805	1091	0.997197758	NEOPLASTIC	Tumour	Glioblastoma
scmapcluster	NEURON	0.692307692	0.857142857	0.765957447	21	0.997757848	NEURON	Brain	Glioblastoma
scmapcluster	OLIGODENDROCYTE	1	0.070588235	0.131868132	85	1	OLIGODENDROCYTE	Brain	Glioblastoma
scmapcluster	OPC	1	0.862068966	0.925925926	406	1	OPC	Brain	Glioblastoma
scmapcluster	UNLABELED	0	0	0	0	0.65784341			Glioblastoma
scmapcluster	VASCULAR	1	0.37254902	0.542857143	51	1	VASCULAR	Vascular	Glioblastoma
singleR	ASTOCYTE	0.976470588	0.943181818	0.959537572	88	0.999428735	ASTOCYTE	Brain	Glioblastoma
singleR	IMMUNE	0.995678012	0.997834326	0.996755003	1847	0.995407577	IMMUNE	Immune	Glioblastoma
singleR	NEOPLASTIC	0.981785064	0.988084326	0.984924623	1091	0.991993595	NEOPLASTIC	Tumour	Glioblastoma
singleR	NEURON	0.833333333	0.952380952	0.888888889	21	0.998878924	NEURON	Brain	Glioblastoma
singleR	OLIGODENDROCYTE	0.988095238	0.976470588	0.982248521	85	0.999714612	OLIGODENDROCYTE	Brain	Glioblastoma
singleR	OPC	0.997461929	0.967980296	0.9825	406	0.999685831	OPC	Brain	Glioblastoma
singleR	VASCULAR	0.943396226	0.980392157	0.961538462	51	0.999152063	VASCULAR	Vascular	Glioblastoma
cibersort	B.CELL	0	0	0	818	1	B.CELL	Immune	Melanoma
cibersort	CAF	0.064701653	0.849056604	0.120240481	106	0.807913775	CAF	Fibroblast	Melanoma
cibersort	ENDO.	0.967032967	0.846153846	0.902564103	104	0.999557196	ENDO.	Endothelial	Melanoma
cibersort	MACROPHAGE	0.948356808	0.961904762	0.955082742	420	0.9965939	MACROPHAGE	Immune	Melanoma
cibersort	MAL	0.961928934	0.187809713	0.314262023	2018	0.996914215	MAL	Tumour	Melanoma
cibersort	NK	0	0	0	92	1	NK	Immune	Melanoma
cibersort	T.CD4	0.230404666	0.738317757	0.351208669	856	0.649510211	T.CD4	Immune	Melanoma
cibersort	T.CD8	0.730098146	0.76122797	0.745338158	1759	0.903320313	T.CD8	Immune	Melanoma
cibersort	T.CELL	0	0	0	706	1	T.CELL	Immune	Melanoma
gsea	B.CELL	0.634881826	0.952322738	0.761858191	818	0.926084804	B.CELL	Immune	Melanoma
gsea	CAF	0.385365854	0.745283019	0.508038585	106	0.981396722	CAF	Fibroblast	Melanoma
gsea	ENDO.	0.076433121	0.923076923	0.141176471	104	0.828782288	ENDO.	Endothelial	Melanoma
gsea	MACROPHAGE	0.737226277	0.961904762	0.834710744	420	0.977705527	MACROPHAGE	Immune	Melanoma
gsea	MAL	0	0	0	2018	1	MAL	Tumour	Melanoma
gsea	NK	0	0	0	92	0.965080301	NK	Immune	Melanoma
gsea	T.CD4	0.397582697	0.730140187	0.514827018	856	0.842769384	T.CD4	Immune	Melanoma
gsea	T.CD8	0.730098146	0.76122797	0.745338158	1759	0.903320313	T.CD8	Immune	Melanoma
gsea	T.CELL	0	0	0	706	1	T.CELL	Immune	Melanoma
gsva	B.CELL	0.93517407	0.952322738	0.943670503	818	0.991090579	B.CELL	Immune	Melanoma
gsva	CAF	0.093916756	0.830188679	0.168744008	106	0.874649343	CAF	Fibroblast	Melanoma
gsva	ENDO.	0.238482385	0.846153846	0.372093023	104	0.958523985	ENDO.	Endothelial	Melanoma
gsva	MACROPHAGE	0.493902439	0.964285714	0.653225806	420	0.935748568	MACROPHAGE	Immune	Melanoma
gsva	MAL	0.980544747	0.24975223	0.398104265	2018	0.99794281	MAL	Tumour	Melanoma
gsva	NK	0	0	0	92	1	NK	Immune	Melanoma
gsva	T.CD4	0.397582697	0.730140187	0.514827018	856	0.842769384	T.CD4	Immune	Melanoma
gsva	T.CD8	0.730098146	0.76122797	0.745338158	1759	0.903320313	T.CD8	Immune	Melanoma
gsva	T.CELL	0	0	0	706	1	T.CELL	Immune	Melanoma
metaneighbor	B.CELL	0.93517407	0.952322738	0.943670503	818	0.991090579	B.CELL	Immune	Melanoma
metaneighbor	CAF	0.063591894	0.858490566	0.118412492	106	0.802155618	CAF	Fibroblast	Melanoma
metaneighbor	ENDO.	0.41314554	0.846153846	0.555205047	104	0.981549815	ENDO.	Endothelial	Melanoma
metaneighbor	MACROPHAGE	0.493902439	0.964285714	0.653225806	420	0.935748568	MACROPHAGE	Immune	Melanoma
metaneighbor	MAL	0	0	0	2018	1	MAL	Tumour	Melanoma
metaneighbor	NK	0	0	0	92	0.974068071	NK	Immune	Melanoma
metaneighbor	T.CD4	0	0	0	856	1	T.CD4	Immune	Melanoma
metaneighbor	T.CD8	0.513799178	0.994883457	0.677637948	1759	0.6765625	T.CD8	Immune	Melanoma
metaneighbor	T.CELL	0	0	0	706	1	T.CELL	Immune	Melanoma
ora	B.CELL	0.93517407	0.952322738	0.943670503	818	0.991090579	B.CELL	Immune	Melanoma
ora	CAF	0.196832579	0.820754717	0.317518248	106	0.947586003	CAF	Fibroblast	Melanoma
ora	ENDO.	0.088888889	0.923076923	0.162162162	104	0.854760148	ENDO.	Endothelial	Melanoma
ora	MACROPHAGE	0.362254025	0.964285714	0.526657997	420	0.889611395	MACROPHAGE	Immune	Melanoma
ora	MAL	0	0	0	2018	1	MAL	Tumour	Melanoma
ora	NK	0	0	0	92	1	NK	Immune	Melanoma
ora	T.CD4	0.397582697	0.730140187	0.514827018	856	0.842769384	T.CD4	Immune	Melanoma
ora	T.CD8	0.730098146	0.76122797	0.745338158	1759	0.903320313	T.CD8	Immune	Melanoma
ora	T.CELL	0	0	0	706	1	T.CELL	Immune	Melanoma
adobo	B.CELL	0	0	0	818	1	B.CELL	Immune	Melanoma
adobo	CAF	0	0	0	106	1	CAF	Fibroblast	Melanoma
adobo	ENDO.	0	0	0	104	1	ENDO.	Endothelial	Melanoma
adobo	MACROPHAGE	0	0	0	420	1	MACROPHAGE	Immune	Melanoma
adobo	MAL	0	0	0	2018	1	MAL	Tumour	Melanoma
adobo	NK	0	0	0	92	1	NK	Immune	Melanoma
adobo	T.CD4	0.411134904	0.448598131	0.429050279	856	0.90868338	T.CD4	Immune	Melanoma
adobo	T.CD8	0	0	0	1759	1	T.CD8	Immune	Melanoma
adobo	T.CELL	0.062135922	0.090651558	0.073732719	706	0.843512069	T.CELL	Immune	Melanoma
adobo	UNKNOWN	0	0	0	0	0.285506614			Melanoma
sccatch	B.CELL	0.93517407	0.952322738	0.943670503	818	0.991090579	B.CELL	Immune	Melanoma
sccatch	CAF	1	0.660377358	0.795454545	106	1	CAF	Fibroblast	Melanoma
sccatch	ENDO.	0.967032967	0.846153846	0.902564103	104	0.999557196	ENDO.	Endothelial	Melanoma
sccatch	MACROPHAGE	0.948356808	0.961904762	0.955082742	420	0.9965939	MACROPHAGE	Immune	Melanoma
sccatch	MAL	0.983606557	0.386521308	0.554962647	2018	0.997325653	MAL	Tumour	Melanoma
sccatch	NK	0	0	0	92	1	NK	Immune	Melanoma
sccatch	T.CD4	0	0	0	856	1	T.CD4	Immune	Melanoma
sccatch	T.CD8	0	0	0	1759	1	T.CD8	Immune	Melanoma
sccatch	T.CELL	0.143075356	0.398016997	0.210486891	706	0.727361089	T.CELL	Immune	Melanoma
sccatch	UNKNOWN	0	0	0	0	0.60721035			Melanoma
SVM	B.CELL	0.980440098	0.980440098	0.980440098	818	0.997360172	B.CELL	Immune	Melanoma
SVM	CAF	0.986666667	0.698113208	0.817679558	106	0.999852355	CAF	Fibroblast	Melanoma
SVM	ENDO.	0.956989247	0.855769231	0.903553299	104	0.999409594	ENDO.	Endothelial	Melanoma
SVM	MACROPHAGE	0.955503513	0.971428571	0.963400236	420	0.997058368	MACROPHAGE	Immune	Melanoma
SVM	MAL	0.970359572	0.989593657	0.979882237	2018	0.987451142	MAL	Tumour	Melanoma
SVM	NK	0.774647887	0.597826087	0.674846626	92	0.997642552	NK	Immune	Melanoma
SVM	T.CD4	0.715634837	0.796728972	0.754007739	856	0.955005811	T.CD4	Immune	Melanoma
SVM	T.CD8	0.89725659	0.94826606	0.922056385	1759	0.962695313	T.CD8	Immune	Melanoma
SVM	T.CELL	0.584761905	0.434844193	0.498781478	706	0.964684918	T.CELL	Immune	Melanoma
SVMrej	B.CELL	0.993614304	0.951100244	0.971892567	818	0.999175054	B.CELL	Immune	Melanoma
SVMrej	CAF	1	0.632075472	0.774566474	106	1	CAF	Fibroblast	Melanoma
SVMrej	ENDO.	0.988095238	0.798076923	0.882978723	104	0.999852399	ENDO.	Endothelial	Melanoma
SVMrej	MACROPHAGE	0.975308642	0.94047619	0.957575758	420	0.998451773	MACROPHAGE	Immune	Melanoma
SVMrej	MAL	0.979622266	0.976709613	0.978163772	2018	0.991565521	MAL	Tumour	Melanoma
SVMrej	NK	0.785714286	0.239130435	0.366666667	92	0.999115957	NK	Immune	Melanoma
SVMrej	T.CD4	0.838475499	0.539719626	0.656716418	856	0.985223311	T.CD4	Immune	Melanoma
SVMrej	T.CD8	0.94828623	0.896532121	0.921683226	1759	0.983203125	T.CD8	Immune	Melanoma
SVMrej	T.CELL	0.777777778	0.148725212	0.249702735	706	0.995140126	T.CELL	Immune	Melanoma
SVMrej	UNLABELED	0	0	0	0	0.832679168			Melanoma
RF	B.CELL	0.962785114	0.980440098	0.971532405	818	0.994885332	B.CELL	Immune	Melanoma
RF	CAF	1	0.566037736	0.722891566	106	1	CAF	Fibroblast	Melanoma
RF	ENDO.	0.987341772	0.75	0.852459016	104	0.999852399	ENDO.	Endothelial	Melanoma
RF	MACROPHAGE	0.957244656	0.95952381	0.958382878	420	0.997213191	MACROPHAGE	Immune	Melanoma
RF	MAL	0.958152958	0.987115956	0.972418843	2018	0.982102448	MAL	Tumour	Melanoma
RF	NK	1	0.032608696	0.063157895	92	1	NK	Immune	Melanoma
RF	T.CD4	0.670411985	0.836448598	0.744282744	856	0.941557363	T.CD4	Immune	Melanoma
RF	T.CD8	0.82473223	0.963047186	0.888539208	1759	0.9296875	T.CD8	Immune	Melanoma
RF	T.CELL	0.627659574	0.250708215	0.358299595	706	0.982990442	T.CELL	Immune	Melanoma
LDA	B.CELL	0.983990148	0.976772616	0.980368098	818	0.997855139	B.CELL	Immune	Melanoma
LDA	CAF	0.985915493	0.660377358	0.790960452	106	0.999852355	CAF	Fibroblast	Melanoma
LDA	ENDO.	0.97752809	0.836538462	0.901554404	104	0.999704797	ENDO.	Endothelial	Melanoma
LDA	MACROPHAGE	0.964114833	0.95952381	0.961813842	420	0.997677659	MACROPHAGE	Immune	Melanoma
LDA	MAL	0.969829684	0.987611497	0.978639823	2018	0.987245423	MAL	Tumour	Melanoma
LDA	NK	0.682926829	0.608695652	0.643678161	92	0.996169147	NK	Immune	Melanoma
LDA	T.CD4	0.717271727	0.761682243	0.738810198	856	0.957330234	T.CD4	Immune	Melanoma
LDA	T.CD8	0.907459338	0.919840819	0.913608131	1759	0.967773438	T.CD8	Immune	Melanoma
LDA	T.CELL	0.551515152	0.515580737	0.532942899	706	0.952049247	T.CELL	Immune	Melanoma
LDArej	B.CELL	0.983970407	0.975550122	0.979742173	818	0.997855139	B.CELL	Immune	Melanoma
LDArej	CAF	0.985915493	0.660377358	0.790960452	106	0.999852355	CAF	Fibroblast	Melanoma
LDArej	ENDO.	0.97752809	0.836538462	0.901554404	104	0.999704797	ENDO.	Endothelial	Melanoma
LDArej	MACROPHAGE	0.964114833	0.95952381	0.961813842	420	0.997677659	MACROPHAGE	Immune	Melanoma
LDArej	MAL	0.970272904	0.986620416	0.978378378	2018	0.987451142	MAL	Tumour	Melanoma
LDArej	NK	0.7	0.608695652	0.651162791	92	0.996463828	NK	Immune	Melanoma
LDArej	T.CD4	0.745271122	0.690420561	0.716798059	856	0.966461896	T.CD4	Immune	Melanoma
LDArej	T.CD8	0.912471396	0.906765208	0.909609353	1759	0.970117188	T.CD8	Immune	Melanoma
LDArej	T.CELL	0.583333333	0.436260623	0.499189627	706	0.964360927	T.CELL	Immune	Melanoma
LDArej	UNLABELED	0	0	0	0	0.95798808			Melanoma
NMC	B.CELL	0.976501305	0.914425428	0.944444444	818	0.997030193	B.CELL	Immune	Melanoma
NMC	CAF	0.72	0.679245283	0.699029126	106	0.995865938	CAF	Fibroblast	Melanoma
NMC	ENDO.	0.838095238	0.846153846	0.842105263	104	0.997490775	ENDO.	Endothelial	Melanoma
NMC	MACROPHAGE	0.841013825	0.869047619	0.854800937	420	0.989317232	MACROPHAGE	Immune	Melanoma
NMC	MAL	0.953347969	0.860753221	0.9046875	2018	0.982513886	MAL	Tumour	Melanoma
NMC	NK	0.541666667	0.706521739	0.613207547	92	0.991896272	NK	Immune	Melanoma
NMC	T.CD4	0.643274854	0.514018692	0.571428571	856	0.959488627	T.CD4	Immune	Melanoma
NMC	T.CD8	0.910212474	0.754974417	0.825357365	1759	0.974414063	T.CD8	Immune	Melanoma
NMC	T.CELL	0.29949604	0.589235127	0.397136038	706	0.842378098	T.CELL	Immune	Melanoma
kNN9	B.CELL	0.938988095	0.771393643	0.846979866	818	0.99323544	B.CELL	Immune	Melanoma
kNN9	CAF	0.256916996	0.613207547	0.362116992	106	0.972242728	CAF	Fibroblast	Melanoma
kNN9	ENDO.	0.850746269	0.548076923	0.666666667	104	0.998523985	ENDO.	Endothelial	Melanoma
kNN9	MACROPHAGE	0.892682927	0.871428571	0.881927711	420	0.9931878	MACROPHAGE	Immune	Melanoma
kNN9	MAL	0.95221328	0.938057483	0.945082376	2018	0.980456696	MAL	Tumour	Melanoma
kNN9	NK	0	0	0	92	1	NK	Immune	Melanoma
kNN9	T.CD4	0.290540541	0.401869159	0.337254902	856	0.860534617	T.CD4	Immune	Melanoma
kNN9	T.CD8	0.88671875	0.129050597	0.225310174	1759	0.994335938	T.CD8	Immune	Melanoma
kNN9	T.CELL	0.21034651	0.610481586	0.312885662	706	0.737890815	T.CELL	Immune	Melanoma
ACTINN	B.CELL	0.978986403	0.968215159	0.97357099	818	0.997195182	B.CELL	Immune	Melanoma
ACTINN	CAF	1	0.650943396	0.788571429	106	1	CAF	Fibroblast	Melanoma
ACTINN	ENDO.	0.946236559	0.846153846	0.893401015	104	0.999261993	ENDO.	Endothelial	Melanoma
ACTINN	MACROPHAGE	0.950704225	0.964285714	0.957446809	420	0.996748723	MACROPHAGE	Immune	Melanoma
ACTINN	MAL	0.968523002	0.991080278	0.97967181	2018	0.986628266	MAL	Tumour	Melanoma
ACTINN	NK	0.744680851	0.380434783	0.503597122	92	0.998231914	NK	Immune	Melanoma
ACTINN	T.CD4	0.672216441	0.754672897	0.71106219	856	0.947700481	T.CD4	Immune	Melanoma
ACTINN	T.CD8	0.870748299	0.945992041	0.906811989	1759	0.951757813	T.CD8	Immune	Melanoma
ACTINN	T.CELL	0.542168675	0.382436261	0.448504983	706	0.96306496	T.CELL	Immune	Melanoma
scVI	B.CELL	0.981707317	0.984107579	0.982905983	818	0.997525161	B.CELL	Immune	Melanoma
scVI	CAF	0.876404494	0.735849057	0.8	106	0.998375904	CAF	Fibroblast	Melanoma
scVI	ENDO.	0.956989247	0.855769231	0.903553299	104	0.999409594	ENDO.	Endothelial	Melanoma
scVI	MACROPHAGE	0.949425287	0.983333333	0.966081871	420	0.9965939	MACROPHAGE	Immune	Melanoma
scVI	MAL	0.971665852	0.985629336	0.978597786	2018	0.988068299	MAL	Tumour	Melanoma
scVI	NK	0	0	0	92	1	NK	Immune	Melanoma
scVI	T.CD4	0.59807074	0.651869159	0.623812186	856	0.937738668	T.CD4	Immune	Melanoma
scVI	T.CD8	0.827968338	0.891984082	0.858784893	1759	0.936328125	T.CD8	Immune	Melanoma
scVI	T.CELL	0.440917108	0.354107649	0.392772977	706	0.948647335	T.CELL	Immune	Melanoma
Cell_BLAST	B.CELL	0.588235294	0.085574572	0.14941302	818	0.991915525	B.CELL	Immune	Melanoma
Cell_BLAST	CAF	0.4	0.018867925	0.036036036	106	0.999557065	CAF	Fibroblast	Melanoma
Cell_BLAST	ENDO.	0.666666667	0.019230769	0.037383178	104	0.999852399	ENDO.	Endothelial	Melanoma
Cell_BLAST	MACROPHAGE	0.830985915	0.561904762	0.670454545	420	0.992568509	MACROPHAGE	Immune	Melanoma
Cell_BLAST	MAL	0.915733074	0.931615461	0.923605994	2018	0.964410615	MAL	Tumour	Melanoma
Cell_BLAST	NK	0	0	0	92	1	NK	Immune	Melanoma
Cell_BLAST	T.CD4	0.1	0.002336449	0.00456621	856	0.997011456	T.CD4	Immune	Melanoma
Cell_BLAST	T.CD8	0.593476531	0.424104605	0.49469496	1759	0.900195313	T.CD8	Immune	Melanoma
Cell_BLAST	T.CELL	0.28125	0.012747875	0.024390244	706	0.996274097	T.CELL	Immune	Melanoma
Cell_BLAST	UNLABELED	0	0	0	0	0.548480884			Melanoma
SingleCellNet	B.CELL	0.98053528	0.985330073	0.982926829	818	0.997360172	B.CELL	Immune	Melanoma
SingleCellNet	CAF	1	0.622641509	0.76744186	106	1	CAF	Fibroblast	Melanoma
SingleCellNet	ENDO.	0.987804878	0.778846154	0.870967742	104	0.999852399	ENDO.	Endothelial	Melanoma
SingleCellNet	MACROPHAGE	0.961813842	0.95952381	0.960667461	420	0.997522836	MACROPHAGE	Immune	Melanoma
SingleCellNet	MAL	0.964147287	0.986124876	0.975012249	2018	0.984776795	MAL	Tumour	Melanoma
SingleCellNet	NK	0.768421053	0.793478261	0.780748663	92	0.996758509	NK	Immune	Melanoma
SingleCellNet	T.CD4	0.922651934	0.97546729	0.948324815	856	0.988377885	T.CD4	Immune	Melanoma
SingleCellNet	T.CD8	0.981001727	0.968732234	0.974828375	1759	0.993554688	T.CD8	Immune	Melanoma
SingleCellNet	T.CELL	0.876632801	0.855524079	0.865949821	706	0.986230358	T.CELL	Immune	Melanoma
LAmbDA	B.CELL	0.930011862	0.958435208	0.944009633	818	0.990265633	B.CELL	Immune	Melanoma
LAmbDA	CAF	0.721649485	0.660377358	0.689655172	106	0.996013583	CAF	Fibroblast	Melanoma
LAmbDA	ENDO.	0.91011236	0.778846154	0.839378238	104	0.998819188	ENDO.	Endothelial	Melanoma
LAmbDA	MACROPHAGE	0.845511482	0.964285714	0.901001112	420	0.988543118	MACROPHAGE	Immune	Melanoma
LAmbDA	MAL	0.972582253	0.966798811	0.969681909	2018	0.988685456	MAL	Tumour	Melanoma
LAmbDA	NK	0.611111111	0.119565217	0.2	92	0.998968616	NK	Immune	Melanoma
LAmbDA	T.CD4	0.458163265	0.52453271	0.489106754	856	0.911837955	T.CD4	Immune	Melanoma
LAmbDA	T.CD8	0.772246422	0.705514497	0.737373737	1759	0.928515625	T.CD8	Immune	Melanoma
LAmbDA	T.CELL	0.375	0.40368272	0.388813097	706	0.923052001	T.CELL	Immune	Melanoma
scPred	B.CELL	0.986267166	0.965770171	0.975911056	818	0.998185118	B.CELL	Immune	Melanoma
scPred	CAF	0.876923077	0.537735849	0.666666667	106	0.99881884	CAF	Fibroblast	Melanoma
scPred	ENDO.	0.966666667	0.836538462	0.896907216	104	0.999557196	ENDO.	Endothelial	Melanoma
scPred	MACROPHAGE	0.95	0.95	0.95	420	0.996748723	MACROPHAGE	Immune	Melanoma
scPred	MAL	0.968658178	0.980178394	0.974384236	2018	0.986833985	MAL	Tumour	Melanoma
scPred	NK	0.702702703	0.282608696	0.403100775	92	0.998379254	NK	Immune	Melanoma
scPred	T.CD4	0.658986175	0.33411215	0.443410853	856	0.975427528	T.CD4	Immune	Melanoma
scPred	T.CD8	0.891290528	0.797043775	0.841536615	1759	0.966601563	T.CD8	Immune	Melanoma
scPred	T.CELL	0.803278689	0.069405099	0.127770535	706	0.998056051	T.CELL	Immune	Melanoma
scPred	UNLABELED	0	0	0	0	0.802878325			Melanoma
CaSTLe	B.CELL	0.974358974	0.975550122	0.974954184	818	0.996535225	B.CELL	Immune	Melanoma
CaSTLe	CAF	0.958333333	0.650943396	0.775280899	106	0.999557065	CAF	Fibroblast	Melanoma
CaSTLe	ENDO.	0.978021978	0.855769231	0.912820513	104	0.999704797	ENDO.	Endothelial	Melanoma
CaSTLe	MACROPHAGE	0.945754717	0.954761905	0.950236967	420	0.996439077	MACROPHAGE	Immune	Melanoma
CaSTLe	MAL	0.965533981	0.985629336	0.975478176	2018	0.985393952	MAL	Tumour	Melanoma
CaSTLe	NK	0.776595745	0.793478261	0.784946237	92	0.996905849	NK	Immune	Melanoma
CaSTLe	T.CD4	0.95361991	0.984813084	0.968965517	856	0.993192761	T.CD4	Immune	Melanoma
CaSTLe	T.CD8	0.974832215	0.990903923	0.982802368	1759	0.991210938	T.CD8	Immune	Melanoma
CaSTLe	T.CELL	0.927357032	0.849858357	0.88691796	706	0.992386198	T.CELL	Immune	Melanoma
CHETAH	B.CELL	0.97012987	0.913202934	0.940806045	818	0.996205247	B.CELL	Immune	Melanoma
CHETAH	CAF	0.449704142	0.716981132	0.552727273	106	0.986269009	CAF	Fibroblast	Melanoma
CHETAH	ENDO.	0.785714286	0.846153846	0.814814815	104	0.996457565	ENDO.	Endothelial	Melanoma
CHETAH	MACROPHAGE	0.952506596	0.85952381	0.903629537	420	0.997213191	MACROPHAGE	Immune	Melanoma
CHETAH	MAL	0.984988453	0.845391477	0.909866667	2018	0.994651306	MAL	Tumour	Melanoma
CHETAH	NK	0.424731183	0.858695652	0.568345324	92	0.984234566	NK	Immune	Melanoma
CHETAH	T.CD4	0.85106383	0.46728972	0.60331825	856	0.988377885	T.CD4	Immune	Melanoma
CHETAH	T.CD8	0.914490862	0.79647527	0.851412944	1759	0.974414063	T.CD8	Immune	Melanoma
CHETAH	T.CELL	0.478835979	0.256373938	0.333948339	706	0.96808683	T.CELL	Immune	Melanoma
CHETAH	UNLABELED	0	0	0	0	0.832679168			Melanoma
scID	B.CELL	0.998466258	0.795843521	0.885714286	818	0.999835011	B.CELL	Immune	Melanoma
scID	CAF	0.66	0.622641509	0.640776699	106	0.994980068	CAF	Fibroblast	Melanoma
scID	ENDO.	0.977011494	0.817307692	0.890052356	104	0.999704797	ENDO.	Endothelial	Melanoma
scID	MACROPHAGE	0.954787234	0.854761905	0.90201005	420	0.997368014	MACROPHAGE	Immune	Melanoma
scID	MAL	0.974871795	0.942021804	0.958165323	2018	0.98991977	MAL	Tumour	Melanoma
scID	NK	0.313829787	0.641304348	0.421428571	92	0.980993075	NK	Immune	Melanoma
scID	T.CD4	0.739932886	0.515186916	0.607438017	856	0.974265316	T.CD4	Immune	Melanoma
scID	T.CD8	0.935168739	0.598635588	0.729982669	1759	0.985742188	T.CD8	Immune	Melanoma
scID	T.CELL	0.266479663	0.538243626	0.356472795	706	0.830552406	T.CELL	Immune	Melanoma
scID	UNLABELED	0	0	0	0	0.945050153			Melanoma
scmapcell	B.CELL	0.935483871	0.212713936	0.346613546	818	0.998020129	B.CELL	Immune	Melanoma
scmapcell	CAF	0.954545455	0.198113208	0.328125	106	0.999852355	CAF	Fibroblast	Melanoma
scmapcell	ENDO.	1	0.009615385	0.019047619	104	1	ENDO.	Endothelial	Melanoma
scmapcell	MACROPHAGE	0.595533499	0.571428571	0.583232078	420	0.974763895	MACROPHAGE	Immune	Melanoma
scmapcell	MAL	0.943887776	0.933597621	0.938714499	2018	0.976959473	MAL	Tumour	Melanoma
scmapcell	NK	0	0	0	92	1	NK	Immune	Melanoma
scmapcell	T.CD4	0.5	0.01635514	0.031674208	856	0.997675577	T.CD4	Immune	Melanoma
