cell,altA54lyze,ascend,bigScale,cellranger,cidr,countClust,monocle,pcaReduce,phenograph,raceid,rca,sc3,scran,seurat,sincera,tscan,truth,category
cy58_1_CD45_pos_A07_S583_comb,282,1,1,9,5,1,46,24,9,6,1,38,1,2,3,7,T.CD8,Immune
cy58_1_CD45_pos_A08_S584_comb,282,1,1,9,4,1,46,24,7,9,1,54,1,1,3,4,T.CD8,Immune
cy58_1_CD45_pos_A09_S585_comb,281,2,4,10,3,7,24,9,15,5,7,22,1,7,2,15,Macrophage,Immune
cy58_1_CD45_pos_A10_S586_comb,285,1,1,9,5,1,18,18,9,6,3,51,1,2,3,4,T cell,Immune
cy58_1_CD45_pos_A12_S588_comb,280,1,1,9,5,1,12,9,8,8,2,54,1,4,3,2,T.CD4,Immune
cy58_1_CD45_pos_B01_S589_comb,281,1,1,1,4,1,10,18,7,8,2,44,1,2,3,4,T.CD4,Immune
cy58_1_CD45_pos_B02_S590_comb,280,1,1,9,5,1,18,19,8,8,2,54,1,4,3,10,T.CD4,Immune
cy58_1_CD45_pos_B03_S591_comb,281,1,1,9,5,1,18,18,7,6,3,49,1,4,3,4,T cell,Immune
cy58_1_CD45_pos_B04_S592_comb,280,1,1,9,5,1,46,9,8,8,1,54,1,2,3,4,T.CD8,Immune
cy58_1_CD45_pos_B05_S593_comb,281,1,1,4,5,1,12,9,7,8,2,51,1,4,3,2,T cell,Immune
cy58_1_CD45_pos_B06_S594_comb,282,1,1,1,4,2,16,9,9,8,1,33,1,1,3,2,T.CD8,Immune
cy58_1_CD45_pos_B07_S595_comb,282,1,1,9,5,1,10,9,9,9,2,54,1,2,3,2,T.CD4,Immune
cy58_1_CD45_pos_B08_S596_comb,281,1,3,1,4,2,27,24,7,8,1,26,1,11,5,10,T.CD8,Immune
cy58_1_CD45_pos_B09_S597_comb,281,1,1,1,5,1,18,18,7,8,2,54,1,2,3,4,T.CD4,Immune
cy58_1_CD45_pos_B10_S598_comb,280,1,2,3,5,1,21,27,7,7,35,15,1,7,2,10,Macrophage,Immune
cy58_1_CD45_pos_B11_S599_comb,281,1,1,9,4,1,46,24,7,8,1,54,1,1,3,4,T.CD8,Immune
cy58_1_CD45_pos_B12_S600_comb,282,1,1,9,4,1,16,9,9,8,1,33,1,1,3,2,T.CD8,Immune
cy58_1_CD45_pos_C01_S601_comb,227,2,2,3,5,5,36,26,14,2,29,15,1,3,2,10,B cell,Immune
cy58_1_CD45_pos_C02_S602_comb,281,1,1,4,5,1,18,18,7,8,2,51,1,4,3,4,T.CD8,Immune
cy58_1_CD45_pos_C03_S603_comb,279,1,1,4,5,1,10,9,6,2,3,51,1,4,3,4,T cell,Immune
cy58_1_CD45_pos_C04_S604_comb,282,1,1,1,4,2,18,15,9,8,1,54,1,1,3,10,NK,Immune
cy58_1_CD45_pos_C05_S605_comb,280,1,2,9,5,1,23,27,8,7,8,3,1,3,3,4,B cell,Immune
cy58_1_CD45_pos_C06_S606_comb,282,1,1,9,5,1,18,19,9,9,15,54,1,2,3,7,T cell,Immune
cy58_1_CD45_pos_C07_S607_comb,282,1,1,9,5,1,18,18,9,6,2,48,1,2,3,7,T.CD4,Immune
cy58_1_CD45_pos_C08_S608_comb,281,2,4,10,3,7,44,20,9,5,7,8,1,7,2,13,Macrophage,Immune
cy58_1_CD45_pos_C09_S609_comb,282,1,1,9,5,1,46,18,9,6,1,42,1,2,3,7,T.CD8,Immune
cy58_1_CD45_pos_C10_S610_comb,282,1,1,9,5,1,18,18,9,9,1,54,1,2,3,4,T cell,Immune
cy58_1_CD45_pos_C11_S611_comb,282,1,1,9,5,1,18,9,9,9,15,54,1,2,3,4,T.CD4,Immune
cy58_1_CD45_pos_C12_S612_comb,282,1,1,9,4,1,46,24,9,9,1,54,1,1,3,4,T.CD8,Immune
cy58_1_CD45_pos_D01_S613_comb,281,1,1,9,5,1,18,18,7,8,2,54,1,2,3,4,T.CD4,Immune
cy58_1_CD45_pos_D02_S614_comb,281,1,1,9,4,1,16,9,7,8,1,37,1,2,3,2,T.CD8,Immune
cy58_1_CD45_pos_D03_S615_comb,282,1,1,9,5,1,18,18,7,6,2,51,1,2,3,4,T cell,Immune
cy58_1_CD45_pos_D06_S618_comb,282,1,1,9,5,1,46,9,9,9,1,33,1,2,3,4,T.CD8,Immune
cy58_1_CD45_pos_D08_S620_comb,280,1,1,9,4,1,46,9,7,8,1,33,1,1,3,4,T.CD8,Immune
cy58_1_CD45_pos_D09_S621_comb,281,1,3,9,4,1,46,9,7,8,1,54,1,1,3,4,T.CD8,Immune
cy58_1_CD45_pos_D10_S622_comb,280,1,1,9,4,1,16,9,8,8,1,33,1,1,3,2,T.CD8,Immune
cy58_1_CD45_pos_D11_S623_comb,280,1,1,9,5,1,18,18,8,8,2,54,1,2,3,4,T.CD8,Immune
cy58_1_CD45_pos_E01_S625_comb,282,1,1,9,5,1,18,18,9,9,2,54,1,2,3,2,T.CD4,Immune
cy58_1_CD45_pos_E02_S626_comb,282,1,1,9,5,1,18,18,9,9,2,51,1,2,3,4,T.CD8,Immune
cy58_1_CD45_pos_E06_S630_comb,280,1,1,9,5,1,18,18,7,8,2,51,1,2,3,4,T.CD8,Immune
cy58_1_CD45_pos_E07_S631_comb,281,1,1,9,5,1,18,18,7,8,2,54,1,2,3,10,T cell,Immune
cy58_1_CD45_pos_E08_S632_comb,281,1,1,9,5,1,46,18,7,6,1,32,1,1,3,7,T.CD8,Immune
cy58_1_CD45_pos_E09_S633_comb,281,1,1,9,5,1,46,18,7,6,1,54,1,2,3,4,T cell,Immune
cy58_1_CD45_pos_E10_S634_comb,282,1,1,9,5,1,18,18,9,9,1,23,1,2,3,4,T.CD4,Immune
cy58_1_CD45_pos_E11_S635_comb,280,1,1,9,4,1,18,15,8,8,3,54,1,2,3,10,T.CD4,Immune
cy58_1_CD45_pos_F01_S637_comb,282,1,1,9,4,1,46,24,9,8,1,38,1,1,3,10,T.CD8,Immune
cy58_1_CD45_pos_F03_S639_comb,282,1,1,9,4,1,46,24,9,9,1,32,1,1,3,4,T.CD8,Immune
cy58_1_CD45_pos_F05_S641_comb,282,1,1,9,4,2,46,9,9,9,1,33,1,1,3,4,T.CD8,Immune
cy58_1_CD45_pos_F06_S642_comb,282,1,1,9,5,1,18,18,9,9,1,51,1,4,3,4,T cell,Immune
cy58_1_CD45_pos_F07_S643_comb,280,1,1,9,5,1,18,9,7,8,2,48,1,2,3,4,T cell,Immune
cy58_1_CD45_pos_F08_S644_comb,282,1,3,11,4,2,27,7,9,4,3,28,1,11,5,10,T cell,Immune
cy58_1_CD45_pos_F09_S645_comb,281,1,1,9,4,2,46,21,7,8,1,31,1,1,3,7,T.CD8,Immune
cy58_1_CD45_pos_F10_S646_comb,280,1,1,9,5,1,18,9,8,8,1,42,1,2,3,4,T.CD8,Immune
cy58_1_CD45_pos_F11_S647_comb,281,1,1,9,5,1,46,19,9,6,1,42,1,2,3,7,T.CD8,Immune
cy58_1_CD45_pos_F12_S648_comb,281,1,1,1,4,1,18,31,7,8,3,44,1,2,3,7,T.CD4,Immune
cy58_1_CD45_pos_G04_S652_comb,282,1,1,9,4,2,11,9,9,8,3,30,1,2,3,2,T.CD4,Immune
cy58_1_CD45_pos_G05_S653_comb,282,1,1,9,5,1,10,9,9,9,2,48,1,4,3,2,T.CD4,Immune
cy58_1_CD45_pos_G06_S654_comb,282,1,1,9,4,1,16,9,9,9,1,54,1,2,3,2,T.CD8,Immune
cy58_1_CD45_pos_G07_S655_comb,279,1,1,9,5,1,18,9,6,8,15,54,1,2,3,4,T.CD8,Immune
cy58_1_CD45_pos_G08_S656_comb,282,1,3,9,4,1,46,15,9,8,1,38,1,2,5,7,T cell,Immune
cy58_1_CD45_pos_G09_S657_comb,282,1,1,9,4,1,46,24,9,6,1,42,1,2,3,7,T.CD8,Immune
cy58_1_CD45_pos_G11_S659_comb,282,1,1,9,5,2,41,9,9,9,1,23,1,1,3,2,NK,Immune
cy58_1_CD45_pos_G12_S660_comb,282,1,1,9,4,1,46,24,9,8,1,34,1,1,3,4,T.CD8,Immune
cy58_1_CD45_pos_H01_S661_comb,280,1,1,9,4,1,46,16,7,6,1,32,1,1,3,7,T.CD8,Immune
cy58_1_CD45_pos_H02_S662_comb,281,1,1,4,5,1,18,18,7,8,2,51,1,4,3,4,T cell,Immune
cy58_1_CD45_pos_H03_S663_comb,282,1,1,9,4,1,46,16,9,6,1,54,1,1,3,7,T.CD8,Immune
cy58_1_CD45_pos_H04_S664_comb,282,1,1,9,4,1,46,24,7,8,1,37,1,1,3,4,T.CD8,Immune
cy58_1_CD45_pos_H05_S665_comb,280,1,1,9,5,1,46,9,7,6,1,42,1,2,3,4,T.CD8,Immune
cy58_1_CD45_pos_H06_S666_comb,282,1,1,9,5,1,46,18,9,6,1,42,1,2,3,7,T.CD8,Immune
cy58_1_CD45_pos_H07_S667_comb,282,1,1,9,5,6,46,9,7,6,1,32,1,2,3,4,T.CD8,Immune
cy58_1_CD45_pos_H08_S668_comb,281,1,1,9,5,1,18,19,7,8,2,49,1,2,3,7,T.CD4,Immune
cy58_1_CD45_pos_H09_S669_comb,278,1,1,9,5,1,46,16,10,8,1,54,1,2,3,7,T.CD8,Immune
cy58_1_CD45_pos_H10_S670_comb,278,1,3,9,5,1,46,19,10,8,1,38,1,1,3,7,T.CD8,Immune
cy58_1_CD45_pos_H11_S671_comb,282,2,4,10,5,7,44,20,9,5,41,8,1,7,2,18,Macrophage,Immune
cy58_1_CD45_pos_H12_S672_comb,281,1,3,9,4,1,46,18,7,8,1,38,1,1,3,4,T cell,Immune
cy60_1_cd_45_neg_1_B11_S215_comb,269,2,5,2,1,3,6,13,1,11,54,54,1,9,1,12,Mal,Tumour
cy60_1_cd_45_neg_1_C08_S224_comb,256,2,5,2,1,3,6,13,1,1,43,42,1,9,1,12,Mal,Tumour
cy60_1_cd_45_neg_1_D07_S235_comb,227,2,5,2,2,3,9,13,1,1,14,42,1,8,1,12,Mal,Tumour
cy60_1_cd_45_neg_1_D11_S239_comb,214,2,5,2,1,3,37,11,16,11,10,42,1,8,1,5,Mal,Tumour
cy60_1_cd_45_neg_1_D12_S240_comb,67,2,1,9,1,5,46,16,13,2,81,54,1,4,3,7,Mal,Tumour
cy60_1_cd_45_neg_3_C10_S514_comb,281,3,5,2,1,3,9,8,12,1,14,54,1,15,1,12,Mal,Tumour
cy60_1_cd_45_neg_3_F06_S546_comb,227,2,8,2,1,3,9,17,3,11,63,27,1,8,1,20,Mal,Tumour
cy60_1_cd_45_neg_3_F09_S549_comb,280,3,5,2,1,3,9,8,12,1,14,42,1,15,1,8,Mal,Tumour
cy60_1_cd_45_neg_3_G10_S562_comb,281,3,5,2,1,3,6,8,12,4,54,54,1,9,1,8,Mal,Tumour
cy60_1_cd_45_neg_3_H01_S565_comb,279,2,4,1,1,3,34,27,8,1,13,39,1,7,2,12,Mal,Tumour
cy60_1_cd_45_neg_3_H06_S570_comb,280,3,5,2,1,3,6,13,12,1,48,42,1,9,1,12,Mal,Tumour
cy60_1_cd_45_neg_3_H07_S571_comb,215,2,8,7,1,4,40,9,3,11,64,39,1,8,4,10,Mal,Tumour
cy60_1_cd_45_pos_3_A01_S289_comb,282,1,3,11,4,2,27,24,9,13,1,28,1,11,5,20,T.CD8,Immune
cy60_1_cd_45_pos_3_A02_S290_comb,282,1,3,1,4,2,27,24,9,3,1,26,1,11,5,10,T.CD8,Immune
cy60_1_cd_45_pos_3_A03_S291_comb,281,1,1,1,4,2,10,9,7,8,1,23,1,1,3,2,NK,Immune
cy60_1_cd_45_pos_3_A04_S292_comb,282,1,2,3,5,1,22,27,9,13,4,6,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_3_A05_S293_comb,282,1,1,9,5,1,10,9,9,9,2,48,1,4,3,2,T cell,Immune
cy60_1_cd_45_pos_3_A06_S294_comb,282,1,2,3,5,1,22,27,9,13,4,6,1,3,3,2,B cell,Immune
cy60_1_cd_45_pos_3_A07_S295_comb,282,1,3,1,4,2,27,24,9,8,1,23,1,11,3,10,NK,Immune
cy60_1_cd_45_pos_3_A08_S296_comb,281,1,3,3,5,1,23,27,7,7,4,54,1,11,5,10,B cell,Immune
cy60_1_cd_45_pos_3_A09_S297_comb,279,1,2,9,5,1,46,16,8,8,4,21,1,3,3,7,B cell,Immune
cy60_1_cd_45_pos_3_A10_S298_comb,282,1,2,4,5,1,40,9,9,13,4,6,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_3_A11_S299_comb,282,1,1,1,4,2,16,24,9,8,1,33,1,1,3,4,T.CD8,Immune
cy60_1_cd_45_pos_3_B01_S301_comb,282,1,1,1,4,2,10,24,9,8,1,23,1,1,3,4,NK,Immune
cy60_1_cd_45_pos_3_B02_S302_comb,280,2,2,3,1,2,36,26,12,15,29,54,1,3,2,10,T cell,Immune
cy60_1_cd_45_pos_3_B03_S303_comb,282,2,4,10,3,7,44,11,15,4,9,8,1,7,2,15,Macrophage,Immune
cy60_1_cd_45_pos_3_B04_S304_comb,282,1,1,1,4,2,11,24,9,9,2,29,1,2,3,4,T.CD4,Immune
cy60_1_cd_45_pos_3_B05_S305_comb,282,1,1,1,4,1,17,9,9,9,3,41,1,2,3,2,NK,Immune
cy60_1_cd_45_pos_3_B06_S306_comb,282,1,1,1,4,1,11,18,9,8,2,54,1,2,3,4,T.CD4,Immune
cy60_1_cd_45_pos_3_B07_S307_comb,282,1,1,1,4,2,11,24,9,8,3,29,1,1,3,10,T.CD4,Immune
cy60_1_cd_45_pos_3_B08_S308_comb,282,1,1,1,4,2,11,9,9,9,1,54,1,2,3,2,T.CD4,Immune
cy60_1_cd_45_pos_3_B10_S310_comb,282,1,1,1,4,2,11,9,9,8,16,54,1,2,3,2,T.CD4,Immune
cy60_1_cd_45_pos_3_B11_S311_comb,282,1,3,11,4,2,27,7,2,9,1,28,1,11,5,20,T.CD8,Immune
cy60_1_cd_45_pos_3_B12_S312_comb,282,1,2,3,5,1,22,27,9,13,4,6,1,3,3,2,B cell,Immune
cy60_1_cd_45_pos_3_C01_S313_comb,282,1,1,4,5,1,17,18,9,9,1,43,1,4,3,4,T.CD8,Immune
cy60_1_cd_45_pos_3_C03_S315_comb,282,1,1,1,4,2,16,24,9,17,1,33,1,1,3,4,T.CD8,Immune
cy60_1_cd_45_pos_3_C04_S316_comb,282,1,1,1,4,2,10,24,9,9,1,23,1,1,3,4,T cell,Immune
cy60_1_cd_45_pos_3_C05_S317_comb,282,1,1,1,4,2,11,24,9,9,3,29,1,2,3,4,T.CD4,Immune
cy60_1_cd_45_pos_3_C06_S318_comb,282,1,3,11,4,2,27,24,9,9,1,28,1,11,5,10,T.CD8,Immune
cy60_1_cd_45_pos_3_C07_S319_comb,282,1,1,4,4,1,17,18,9,9,19,54,1,4,3,4,T.CD4,Immune
cy60_1_cd_45_pos_3_C08_S320_comb,281,1,1,1,4,2,17,9,9,8,47,43,1,2,3,2,T cell,Immune
cy60_1_cd_45_pos_3_C10_S322_comb,282,1,2,3,5,1,22,27,9,13,4,6,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_3_C11_S323_comb,282,1,1,1,4,2,16,24,9,9,1,54,1,1,3,4,T.CD8,Immune
cy60_1_cd_45_pos_3_C12_S324_comb,281,1,2,3,5,1,22,27,9,13,4,4,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_3_D01_S325_comb,281,1,1,4,4,1,10,18,7,8,3,48,1,5,3,10,T.CD4,Immune
cy60_1_cd_45_pos_3_D02_S326_comb,281,1,2,3,5,1,23,27,7,13,4,6,1,3,3,10,B cell,Immune
cy60_1_cd_45_pos_3_D03_S327_comb,281,1,2,3,5,1,23,27,7,13,4,6,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_3_D04_S328_comb,281,1,2,3,5,1,23,27,7,13,4,54,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_3_D05_S329_comb,282,1,2,3,5,1,22,27,9,13,4,54,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_3_D06_S330_comb,282,1,1,1,4,2,16,24,9,9,1,33,1,1,3,4,T.CD8,Immune
cy60_1_cd_45_pos_3_D09_S333_comb,282,1,1,1,4,2,11,18,9,8,16,54,1,2,3,4,T.CD4,Immune
cy60_1_cd_45_pos_3_D11_S335_comb,282,1,1,1,4,2,11,24,9,9,2,41,1,2,3,4,T.CD8,Immune
cy60_1_cd_45_pos_3_E01_S337_comb,282,1,2,3,5,1,22,27,9,13,4,4,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_3_E02_S338_comb,280,1,3,9,4,2,46,7,8,8,3,29,1,2,3,7,T.CD4,Immune
cy60_1_cd_45_pos_3_E04_S340_comb,282,1,2,3,5,1,23,27,9,13,4,15,1,3,5,4,B cell,Immune
cy60_1_cd_45_pos_3_E05_S341_comb,282,1,2,3,5,1,22,27,9,13,4,3,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_3_E06_S342_comb,282,1,2,3,5,1,22,2,9,13,4,4,1,3,3,10,B cell,Immune
cy60_1_cd_45_pos_3_E07_S343_comb,227,1,2,9,5,1,46,16,14,2,79,54,1,3,3,7,B cell,Immune
cy60_1_cd_45_pos_3_E08_S344_comb,282,1,2,3,5,1,23,2,9,13,4,54,1,3,3,10,B cell,Immune
cy60_1_cd_45_pos_3_E09_S345_comb,282,1,1,1,4,2,17,9,9,9,1,42,1,5,3,2,T cell,Immune
cy60_1_cd_45_pos_3_E10_S346_comb,282,1,1,1,4,2,10,24,9,8,1,54,1,1,3,10,T.CD8,Immune
cy60_1_cd_45_pos_3_E11_S347_comb,281,2,4,10,3,7,40,9,15,5,9,39,1,7,2,15,Macrophage,Immune
cy60_1_cd_45_pos_3_E12_S348_comb,281,1,2,3,5,1,22,27,7,7,4,6,1,3,3,2,B cell,Immune
cy60_1_cd_45_pos_3_F01_S349_comb,281,1,1,1,4,1,11,24,7,8,3,30,1,2,3,10,T cell,Immune
cy60_1_cd_45_pos_3_F02_S350_comb,282,1,1,4,4,1,17,18,9,8,3,54,1,5,3,4,T cell,Immune
cy60_1_cd_45_pos_3_F03_S351_comb,280,1,2,3,5,1,22,2,7,7,4,6,1,3,3,10,B cell,Immune
cy60_1_cd_45_pos_3_F04_S352_comb,282,1,1,1,4,2,11,24,9,8,3,48,1,2,3,4,T cell,Immune
cy60_1_cd_45_pos_3_F05_S353_comb,282,1,2,3,5,1,22,27,9,13,4,54,1,3,3,2,B cell,Immune
cy60_1_cd_45_pos_3_F06_S354_comb,281,1,3,9,5,6,46,16,7,6,1,54,1,2,3,7,T.CD8,Immune
cy60_1_cd_45_pos_3_F07_S355_comb,282,1,2,3,5,1,22,27,9,13,4,6,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_3_F08_S356_comb,282,1,1,1,4,2,11,9,9,8,1,29,1,2,3,4,T cell,Immune
cy60_1_cd_45_pos_3_F10_S358_comb,282,1,2,3,5,1,22,27,9,13,4,54,1,3,3,2,B cell,Immune
cy60_1_cd_45_pos_3_F11_S359_comb,282,1,1,1,4,1,11,18,9,8,3,29,1,2,3,4,T.CD4,Immune
cy60_1_cd_45_pos_3_G01_S361_comb,281,1,1,4,4,2,10,24,7,8,1,23,1,5,3,10,NK,Immune
cy60_1_cd_45_pos_3_G02_S362_comb,282,1,2,3,5,1,23,27,9,13,4,3,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_3_G03_S363_comb,282,1,3,1,4,2,11,15,9,8,1,29,1,1,3,10,T.CD4,Immune
cy60_1_cd_45_pos_3_G04_S364_comb,282,1,1,1,4,1,11,18,9,8,19,29,1,2,3,10,T cell,Immune
cy60_1_cd_45_pos_3_G05_S365_comb,282,1,1,9,4,1,10,9,9,8,3,29,1,2,3,4,T.CD4,Immune
cy60_1_cd_45_pos_3_G06_S366_comb,281,1,2,9,5,1,23,2,7,7,4,54,1,3,3,10,B cell,Immune
cy60_1_cd_45_pos_3_G07_S367_comb,280,2,2,3,1,2,36,26,8,15,29,15,1,3,2,10,T cell,Immune
cy60_1_cd_45_pos_3_G08_S368_comb,282,1,2,3,5,1,22,27,9,13,4,3,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_3_G10_S370_comb,281,1,2,3,5,1,22,2,7,7,4,6,1,3,3,10,B cell,Immune
cy60_1_cd_45_pos_3_G11_S371_comb,282,1,1,1,4,2,11,24,9,9,1,48,1,1,3,4,T.CD4,Immune
cy60_1_cd_45_pos_3_G12_S372_comb,282,2,4,10,3,7,24,20,15,5,9,8,1,7,2,13,Macrophage,Immune
cy60_1_cd_45_pos_3_H01_S373_comb,282,1,1,1,4,2,11,24,9,8,3,29,1,1,3,10,T.CD4,Immune
cy60_1_cd_45_pos_3_H02_S374_comb,281,1,1,4,4,1,10,24,7,8,1,41,1,2,3,4,T.CD8,Immune
cy60_1_cd_45_pos_3_H04_S376_comb,282,1,1,1,4,2,10,9,9,9,1,42,1,1,3,4,T.CD8,Immune
cy60_1_cd_45_pos_3_H05_S377_comb,282,1,3,1,4,2,11,15,9,3,3,29,1,1,3,10,T cell,Immune
cy60_1_cd_45_pos_3_H06_S378_comb,282,1,2,3,5,1,22,27,9,13,4,6,1,3,3,2,B cell,Immune
cy60_1_cd_45_pos_3_H07_S379_comb,281,1,2,3,5,1,23,27,7,13,4,54,1,3,5,10,B cell,Immune
cy60_1_cd_45_pos_3_H08_S380_comb,282,1,1,1,4,2,16,9,9,8,1,30,1,1,3,4,T.CD4,Immune
cy60_1_cd_45_pos_3_H10_S382_comb,282,1,2,3,5,1,22,9,9,13,4,54,1,3,3,2,B cell,Immune
cy60_1_cd_45_pos_3_H11_S383_comb,282,1,1,1,4,2,11,24,9,8,3,29,1,1,3,10,T.CD4,Immune
cy60_1_cd_45_pos_3_H12_S384_comb,282,1,3,11,4,2,27,7,9,8,1,54,1,11,5,20,T.CD8,Immune
cy60_1_cd_45_pos_4_A01_S1_comb,281,1,1,1,4,2,16,9,7,8,1,54,1,1,3,2,T.CD8,Immune
cy60_1_cd_45_pos_4_A03_S3_comb,277,1,2,3,5,1,23,27,14,7,4,6,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_4_A04_S4_comb,279,1,2,3,5,1,23,27,6,7,4,54,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_4_A06_S6_comb,279,1,1,1,4,1,11,9,6,2,2,54,1,2,3,2,T cell,Immune
cy60_1_cd_45_pos_4_A09_S9_comb,281,1,1,4,5,1,10,18,7,8,3,52,1,2,3,2,T.CD4,Immune
cy60_1_cd_45_pos_4_A10_S10_comb,280,1,2,3,5,1,22,27,8,7,4,54,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_4_A11_S11_comb,278,1,2,3,5,1,23,27,6,7,4,54,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_4_A12_S12_comb,280,1,2,3,5,1,22,27,8,7,4,5,1,3,3,2,B cell,Immune
cy60_1_cd_45_pos_4_B02_S14_comb,277,1,2,3,5,1,23,27,10,7,4,54,1,3,5,4,B cell,Immune
cy60_1_cd_45_pos_4_B03_S15_comb,280,1,2,3,5,1,23,27,8,7,4,5,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_4_B04_S16_comb,279,1,1,1,4,2,11,9,6,2,16,54,1,2,3,2,T cell,Immune
cy60_1_cd_45_pos_4_B06_S18_comb,280,1,1,1,5,1,10,24,8,8,1,23,1,1,3,4,NK,Immune
cy60_1_cd_45_pos_4_B07_S19_comb,280,1,1,1,4,2,15,24,7,8,1,27,1,1,3,4,T.CD8,Immune
cy60_1_cd_45_pos_4_B08_S20_comb,280,1,1,1,4,1,10,24,8,8,1,54,1,1,3,4,NK,Immune
cy60_1_cd_45_pos_4_B09_S21_comb,279,1,1,4,5,1,12,18,6,2,3,54,1,2,3,4,T cell,Immune
cy60_1_cd_45_pos_4_B10_S22_comb,280,1,1,4,5,1,10,9,8,8,3,54,1,4,3,2,T.CD4,Immune
cy60_1_cd_45_pos_4_B11_S23_comb,281,1,1,1,4,2,11,18,7,8,3,41,1,2,3,4,T.CD4,Immune
cy60_1_cd_45_pos_4_B12_S24_comb,279,1,3,11,4,2,27,15,6,2,3,28,1,11,5,10,T.CD4,Immune
cy60_1_cd_45_pos_4_C01_S25_comb,280,1,3,11,4,2,27,24,7,8,1,54,1,11,5,10,T.CD8,Immune
cy60_1_cd_45_pos_4_C03_S27_comb,280,1,3,1,4,2,15,24,8,2,1,15,1,1,5,4,T.CD4,Immune
cy60_1_cd_45_pos_4_C04_S28_comb,279,1,1,1,4,1,10,18,8,2,1,54,1,2,3,4,T.CD8,Immune
cy60_1_cd_45_pos_4_C05_S29_comb,279,1,1,1,4,2,15,9,8,2,1,15,1,1,3,2,T.CD8,Immune
cy60_1_cd_45_pos_4_C06_S30_comb,281,1,1,1,4,6,10,9,7,8,1,39,1,2,3,2,T.CD8,Immune
cy60_1_cd_45_pos_4_C07_S31_comb,281,1,1,1,4,2,10,24,7,8,1,27,1,1,3,4,NK,Immune
cy60_1_cd_45_pos_4_C08_S32_comb,281,2,4,10,3,7,24,11,15,5,76,8,1,7,2,15,Macrophage,Immune
cy60_1_cd_45_pos_4_C09_S33_comb,280,1,2,3,5,1,22,27,8,7,4,3,1,3,3,2,B cell,Immune
cy60_1_cd_45_pos_4_C10_S34_comb,279,1,1,4,5,1,10,18,8,2,0,52,1,2,3,2,T.CD4,Immune
cy60_1_cd_45_pos_4_C11_S35_comb,227,2,1,9,5,1,10,9,3,2,1,27,1,2,3,2,NK,Immune
cy60_1_cd_45_pos_4_D01_S37_comb,280,1,2,3,5,1,23,27,8,7,4,15,1,3,5,10,B cell,Immune
cy60_1_cd_45_pos_4_D02_S38_comb,277,1,2,3,5,1,22,27,14,7,4,5,1,3,3,2,B cell,Immune
cy60_1_cd_45_pos_4_D03_S39_comb,279,1,1,1,4,1,11,9,8,2,3,43,1,2,3,2,T.CD4,Immune
cy60_1_cd_45_pos_4_D06_S42_comb,281,1,1,1,4,1,17,9,7,8,1,54,1,2,3,2,T.CD8,Immune
cy60_1_cd_45_pos_4_D07_S43_comb,280,1,1,1,5,1,10,9,8,2,3,54,1,2,3,2,T.CD4,Immune
cy60_1_cd_45_pos_4_D08_S44_comb,280,1,2,3,5,1,22,9,8,7,4,5,1,3,3,2,B cell,Immune
cy60_1_cd_45_pos_4_D09_S45_comb,280,1,1,1,5,1,10,9,8,8,3,51,1,2,3,2,T.CD4,Immune
cy60_1_cd_45_pos_4_D10_S46_comb,279,1,1,1,4,2,15,24,6,2,1,54,1,1,3,2,T.CD8,Immune
cy60_1_cd_45_pos_4_D11_S47_comb,278,1,1,1,4,2,11,24,10,2,3,29,1,2,3,4,T.CD4,Immune
cy60_1_cd_45_pos_4_D12_S48_comb,279,1,2,3,5,1,23,27,6,7,4,5,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_4_E01_S49_comb,280,2,4,10,3,7,44,20,8,7,7,54,1,7,2,15,Macrophage,Immune
cy60_1_cd_45_pos_4_E02_S50_comb,280,1,1,1,4,2,11,24,8,2,3,54,1,1,3,4,T.CD8,Immune
cy60_1_cd_45_pos_4_E03_S51_comb,279,1,2,3,5,1,22,27,6,7,4,6,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_4_E04_S52_comb,278,1,1,4,5,1,10,18,10,2,3,52,1,4,3,4,T cell,Immune
cy60_1_cd_45_pos_4_E06_S54_comb,278,1,2,3,5,1,22,27,10,7,4,6,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_4_E07_S55_comb,281,1,2,3,5,1,22,27,7,7,4,54,1,3,3,4,B cell,Immune
cy60_1_cd_45_pos_4_E08_S56_comb,280,1,1,1,4,2,10,24,8,8,1,54,1,1,3,10,T cell,Immune
