Unnamed: 0,cell,seurat,ascend,cellRanger,cidr,clue,countClust,RaceID,rca,SAFE,SAME_AIC,SAME_BIC,sc3,scran,seurat_y,simlr,truth,tscan,paper
1077,cy79_p4_CD45_neg_PDL1_pos_F06_S450_comb,4,2,5,6,6,2,7,1,8,3,11,4,6,4,6,Melanoma,2,1
1078,cy82_CD45_pos_3_C11_S35_comb,7,2,3,3,6,2,7,1,8,17,3,24,6,14,3,Melanoma,2,1
1079,cy79_p4_CD45_pos_PD1_pos_A10_S298_comb,1,1,2,5,10,1,2446,2,2,18,5,8,3,1,14,T Cell,1,2
1080,cy79_p5_CD45_pos_PD1_pos_H02_S662_comb,2,1,1,2,1,1,1448,3,1,14,16,11,1,1,14,T Cell,1,2
1081,cy81_FNA_CD45_neg_E12_S1020_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
1082,cy79_p4_CD45_neg_PDL1_neg_A12_S1068_comb,4,2,5,3,6,2,7,11,8,3,11,4,5,9,6,Melanoma,2,1
1083,cy79_p4_CD45_neg_PDL1_neg_B11_S1079_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1084,cy79_p5_CD45_neg_PDL1_neg_A05_S773_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1085,cy80_CD45_neg_D03_S903_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1086,cy79_p4_CD45_pos_PD1_pos_F06_S354_comb,5,1,2,4,10,1,1991,2,1,4,5,12,1,1,14,T Cell,1,2
1087,cy81_Bulk_CD45_neg_E09_S153_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
1088,cy79_p5_CD45_neg_PDL1_neg_F05_S833_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1089,cy79_p5_CD45_pos_PD1_pos_E09_S633_comb,2,1,1,7,1,4,183,3,1,1,2,11,1,1,14,T Cell,4,2
1090,cy80_CD45_neg_B01_S877_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1091,cy82_CD45_pos_1_E08_S536_comb,7,2,3,3,6,2,3,0,8,17,3,24,6,14,3,Melanoma,2,1
1092,cy79_p5_CD45_neg_PDL1_neg_H06_S858_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1093,cy79_p4_CD45_neg_PDL1_neg_A03_S1059_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1094,cy79_p5_CD45_neg_PDL1_neg_H10_S862_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1095,cy80_CD45_neg_C09_S897_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1096,cy80_CD45_neg_E12_S924_comb,14,2,9,3,3,5,154,8,7,21,6,25,6,12,12,Endothelial,5,5
1097,cy79_p5_CD45_neg_PDL1_pos_E03_S723_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1098,cy79_p4_CD45_neg_PDL1_pos_C12_S420_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1099,cy79_p5_CD45_neg_PDL1_pos_E08_S728_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1100,cy80_CD45_neg_D07_S907_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1101,cy79_p5_CD45_neg_PDL1_neg_H07_S859_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1102,cy79_p5_CD45_pos_PD1_pos_E02_S626_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1103,cy80_CD45_neg_A03_S867_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1104,cy79_p5_CD45_neg_PDL1_neg_G09_S849_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1105,cy79_p5_CD45_neg_PDL1_neg_C09_S801_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1106,cy79_p4_CD45_pos_PD1_pos_E09_S345_comb,1,1,1,4,10,3,1163,2,1,20,15,12,1,1,14,T Cell,3,2
1107,cy82_CD45_pos_1_B12_S504_comb,3,1,4,1,11,1,1322,4,3,10,14,1,4,3,7,Melanoma,1,1
1108,cy79_p5_CD45_neg_PDL1_neg_B04_S784_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1109,cy80_CD45_neg_H09_S957_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1110,cy79_p5_CD45_pos_PD1_pos_G05_S653_comb,5,1,2,2,10,1,1739,3,1,14,16,11,1,1,14,T Cell,1,2
1111,cy80_CD45_neg_H02_S950_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1112,cy79_p5_CD45_pos_PD1_pos_H07_S667_comb,2,1,2,2,1,4,1115,3,1,1,2,11,1,1,14,T Cell,4,2
1113,cy79_p5_CD45_neg_PDL1_neg_G03_S843_comb,4,2,5,6,6,2,1161,6,8,3,11,4,6,4,6,Melanoma,2,1
1114,cy79_p4_CD45_neg_PDL1_pos_D12_S432_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1115,cy81_Bulk_CD45_neg_C08_S128_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
1116,cy79_p4_CD45_neg_PDL1_pos_A08_S392_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1117,cy80_CD45_neg_E01_S913_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1118,cy79_p5_CD45_pos_PD1_pos_D03_S615_comb,2,1,1,2,1,1,1352,3,1,14,16,11,1,1,14,T Cell,1,2
1119,cy81_Bulk_CD45_neg_C04_S124_comb,7,2,3,6,5,2,3,1,8,8,13,26,6,8,3,Melanoma,2,1
1120,cy79_p4_CD45_neg_PDL1_pos_F11_S455_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1121,cy82_CD45_pos_1_H05_S569_comb,7,2,3,3,6,2,3,1,8,8,3,24,2,14,3,Melanoma,2,1
1122,cy79_p5_CD45_pos_PD1_pos_D09_S621_comb,3,1,4,1,11,3,367,4,3,7,12,1,4,3,7,B Cell,3,3
1123,cy80_CD45_neg_H03_S951_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1124,cy81_Bulk_CD45_neg_B03_S111_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
1125,cy81_Bulk_CD45_neg_E08_S152_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
1126,cy79_p4_CD45_neg_PDL1_neg_D06_S1098_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1127,cy79_p5_CD45_pos_PD1_pos_C07_S607_comb,1,1,1,7,10,3,837,2,1,20,15,5,1,1,14,T Cell,3,2
1128,cy79_p4_CD45_neg_PDL1_neg_B09_S1077_comb,4,2,5,3,6,2,7,6,8,3,11,4,5,4,6,Melanoma,2,1
1129,cy79_p4_CD45_neg_PDL1_pos_B10_S406_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1130,cy79_p4_CD45_pos_PD1_pos_E07_S343_comb,2,1,1,2,1,1,2212,3,1,14,16,11,1,1,14,T Cell,1,2
1131,cy82_CD45_pos_1_F08_S548_comb,1,1,2,5,10,1,2050,2,2,18,10,5,3,1,14,T Cell,1,2
1132,cy80_CD45_neg_D10_S910_comb,6,2,3,3,6,2,4,1,8,13,13,28,6,10,11,Melanoma,2,1
1133,cy79_p5_CD45_neg_PDL1_pos_F02_S734_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1134,cy79_p5_CD45_neg_PDL1_neg_G07_S847_comb,4,2,5,6,6,2,7,6,8,3,11,4,6,4,6,Melanoma,2,1
1135,cy79_p4_CD45_neg_PDL1_neg_H03_S1143_comb,4,2,5,6,6,2,230,1,8,3,11,4,6,4,12,Melanoma,2,1
1136,cy79_p4_CD45_neg_PDL1_neg_G01_S1129_comb,4,2,5,6,6,2,7,1,8,3,11,4,6,4,6,Melanoma,2,1
1137,cy79_p4_CD45_neg_PDL1_neg_H10_S1150_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1138,cy79_p4_CD45_pos_PD1_pos_F01_S349_comb,5,1,1,7,1,3,654,2,1,20,15,11,1,1,14,T Cell,3,2
1139,cy79_p4_CD45_neg_PDL1_pos_D02_S422_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1140,cy79_p4_CD45_pos_PD1_pos_C10_S322_comb,2,1,1,4,10,1,1744,2,1,4,5,12,1,1,14,T Cell,1,2
1141,cy80_CD45_neg_F12_S936_comb,14,2,9,6,3,5,154,8,7,21,6,25,6,12,12,Endothelial,5,5
1142,cy80_CD45_neg_F10_S934_comb,14,2,9,3,3,5,88,8,7,21,6,25,6,12,12,Endothelial,5,5
1143,cy79_p4_CD45_neg_PDL1_pos_A11_S395_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1144,cy79_p4_CD45_neg_PDL1_neg_G07_S1135_comb,10,2,6,4,9,1,2018,6,4,22,8,4,8,6,9,Melanoma,1,1
1145,cy79_p4_CD45_neg_PDL1_pos_C10_S418_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1146,cy79_p5_CD45_pos_PD1_pos_G12_S660_comb,2,1,2,2,10,1,737,3,1,14,16,11,1,1,14,T Cell,1,2
1147,cy79_p4_CD45_neg_PDL1_pos_E02_S434_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1148,cy79_p5_CD45_pos_PD1_pos_E04_S628_comb,2,1,1,7,1,1,1373,3,1,14,16,11,1,1,14,T Cell,1,2
1149,cy79_p4_CD45_neg_PDL1_pos_F09_S453_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1150,cy79_p5_CD45_pos_PD1_pos_B08_S596_comb,2,1,1,2,1,1,855,3,1,14,16,11,1,1,14,T Cell,1,2
1151,cy79_p4_CD45_pos_PD1_pos_B10_S310_comb,3,1,4,1,11,1,1388,4,3,10,14,1,4,3,7,B Cell,1,3
1152,cy80_CD45_neg_D09_S909_comb,8,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1153,cy79_p4_CD45_neg_PDL1_neg_C11_S1091_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1154,cy79_p4_CD45_pos_PD1_pos_F04_S352_comb,2,1,1,2,1,4,1536,3,1,1,2,11,1,1,14,T Cell,4,2
1155,cy79_p5_CD45_neg_PDL1_pos_B04_S688_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1156,cy81_Bulk_CD45_neg_F05_S161_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
1157,cy79_p5_CD45_neg_PDL1_pos_E06_S726_comb,4,2,5,6,6,2,7,6,6,3,11,4,5,4,6,Melanoma,2,1
1158,cy81_FNA_CD45_neg_G03_S1035_comb,7,2,3,6,6,2,3,1,8,8,13,26,6,8,3,Melanoma,2,1
1159,cy79_p5_CD45_pos_PD1_pos_H06_S666_comb,2,1,1,2,1,1,781,3,1,14,16,11,1,1,14,T Cell,1,2
1160,cy79_p5_CD45_pos_PD1_pos_F02_S638_comb,2,1,2,2,10,1,531,3,1,14,16,11,1,1,14,T Cell,1,2
1161,cy79_p5_CD45_neg_PDL1_neg_F11_S839_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1162,cy79_p5_CD45_neg_PDL1_neg_F02_S830_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1163,cy81_FNA_CD45_neg_G09_S1041_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
1164,cy79_p4_CD45_pos_PD1_pos_G05_S365_comb,2,1,1,2,1,4,1446,3,1,1,2,11,1,1,14,T Cell,4,2
1165,cy79_p4_CD45_neg_PDL1_pos_G03_S459_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1166,cy79_p5_CD45_neg_PDL1_neg_A12_S780_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1167,cy80_CD45_neg_B05_S881_comb,6,2,3,6,6,2,1853,6,8,17,4,28,3,2,3,Melanoma,2,1
1168,cy79_p4_CD45_neg_PDL1_neg_A08_S1064_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1169,cy80_CD45_neg_D11_S911_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1170,cy82_CD45_neg_2_H12_S288_comb,7,2,3,3,6,2,3,1,8,17,3,24,6,14,3,Melanoma,2,1
1171,cy79_p4_CD45_pos_PD1_pos_G02_S362_comb,5,1,1,4,10,1,1786,2,1,14,5,11,1,1,14,T Cell,1,2
1172,cy80_CD45_neg_H05_S953_comb,14,2,9,7,3,5,88,8,7,21,6,25,6,12,12,Endothelial,5,5
1173,cy79_p4_CD45_neg_PDL1_neg_E01_S1105_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1174,cy79_p4_CD45_neg_PDL1_neg_B03_S1071_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1175,cy79_p5_CD45_neg_PDL1_neg_A11_S779_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1176,cy79_p4_CD45_neg_PDL1_neg_D04_S1096_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1177,cy80_CD45_neg_E06_S918_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1178,cy79_p5_CD45_neg_PDL1_pos_H03_S759_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1179,cy79_p5_CD45_neg_PDL1_neg_A07_S775_comb,4,2,5,6,6,2,7,1,8,3,11,4,6,4,6,Melanoma,2,1
1180,cy79_p4_CD45_neg_PDL1_pos_C05_S413_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1181,cy79_p4_CD45_neg_PDL1_pos_D08_S428_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1182,cy79_p5_CD45_neg_PDL1_pos_H11_S767_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1183,cy80_CD45_neg_B04_S880_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1184,cy79_p4_CD45_neg_PDL1_neg_B10_S1078_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1185,cy82_CD45_pos_1_C12_S516_comb,15,2,3,6,3,5,6,12,7,19,6,24,6,13,12,CAF,5,6
1186,cy79_p4_CD45_pos_PD1_pos_F02_S350_comb,5,1,6,4,1,1,1560,3,1,14,16,11,1,2,14,T Cell,1,2
1187,cy82_CD45_pos_3_C08_S32_comb,5,1,2,4,1,3,871,3,1,9,15,15,1,2,14,Melanoma,3,1
1188,cy82_CD45_pos_1_H09_S573_comb,1,1,2,4,10,1,1256,2,2,18,10,5,3,1,14,T Cell,1,2
1189,cy81_FNA_CD45_neg_F12_S1032_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
1190,cy79_p4_CD45_neg_PDL1_neg_F02_S1118_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1191,cy79_p5_CD45_pos_PD1_pos_D04_S616_comb,2,1,2,2,10,1,1239,3,1,14,16,11,1,1,14,T Cell,1,2
1192,cy79_p5_CD45_pos_PD1_pos_G08_S656_comb,2,1,1,2,1,4,721,3,1,1,2,11,1,1,14,T Cell,4,2
1193,cy79_p5_CD45_neg_PDL1_pos_G03_S747_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1194,cy79_p4_CD45_pos_PD1_pos_D06_S330_comb,5,1,2,4,10,3,1674,2,1,20,15,12,1,1,14,T Cell,3,2
1195,cy79_p5_CD45_pos_PD1_pos_E10_S634_comb,2,1,1,2,1,4,1280,3,1,1,2,11,1,1,14,T Cell,4,2
1196,cy79_p4_CD45_neg_PDL1_pos_A12_S396_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1197,cy79_p5_CD45_neg_PDL1_pos_H10_S766_comb,4,2,5,6,6,2,501,1,8,3,11,4,5,4,6,Melanoma,2,1
1198,cy80_CD45_neg_D01_S901_comb,8,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1199,cy80_CD45_neg_C02_S890_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1200,cy80_CD45_neg_E10_S922_comb,12,2,3,6,6,2,4,1,8,13,13,28,6,10,14,Melanoma,2,1
1201,cy79_p4_CD45_neg_PDL1_neg_H04_S1144_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1202,cy79_p4_CD45_neg_PDL1_neg_C02_S1082_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1203,cy79_p4_CD45_neg_PDL1_pos_C11_S419_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1204,cy79_p4_CD45_neg_PDL1_neg_G03_S1131_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1205,cy79_p4_CD45_neg_PDL1_neg_F07_S1123_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1206,cy79_p4_CD45_neg_PDL1_neg_C09_S1089_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1207,cy79_p5_CD45_neg_PDL1_neg_D10_S814_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1208,cy81_Bulk_CD45_neg_G04_S172_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
1209,cy79_p5_CD45_pos_PD1_pos_E01_S625_comb,13,1,1,5,4,3,1,17,1,2,9,23,7,9,14,T Cell,3,2
1210,cy79_p5_CD45_neg_PDL1_neg_F08_S836_comb,4,2,5,6,6,2,7,6,8,3,11,4,6,4,6,Melanoma,2,1
1211,cy79_p4_CD45_neg_PDL1_neg_D11_S1103_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1212,cy80_CD45_neg_C10_S898_comb,3,1,4,7,11,3,317,4,3,7,12,1,4,3,7,B Cell,3,3
1213,cy82_CD45_pos_1_F01_S541_comb,3,1,4,1,11,1,2584,4,3,10,14,1,4,3,7,B Cell,1,3
1214,cy79_p4_CD45_neg_PDL1_neg_F09_S1125_comb,6,2,5,6,6,2,7,1,8,3,11,4,6,4,3,Melanoma,2,1
1215,cy79_p4_CD45_pos_PD1_pos_G03_S363_comb,5,1,2,7,10,1,1995,2,1,14,5,11,1,1,14,T Cell,1,2
1216,cy79_p5_CD45_neg_PDL1_pos_G07_S751_comb,4,2,5,6,6,2,7,6,8,3,11,4,6,4,6,Melanoma,2,1
1217,cy81_Bulk_CD45_neg_G07_S175_comb,7,2,3,6,5,2,3,1,8,8,13,26,6,8,3,Melanoma,2,1
1218,cy79_p5_CD45_pos_PD1_pos_F03_S639_comb,2,1,2,2,10,1,1312,3,1,14,16,11,1,1,14,T Cell,1,2
1219,cy79_p5_CD45_neg_PDL1_pos_G04_S748_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1220,cy79_p4_CD45_pos_PD1_pos_E01_S337_comb,5,1,1,4,10,3,1124,2,1,20,15,9,1,1,14,T Cell,3,2
1221,cy79_p4_CD45_neg_PDL1_pos_B06_S402_comb,4,2,5,6,6,2,7,6,8,3,11,4,6,4,6,Melanoma,2,1
1222,cy79_p4_CD45_pos_PD1_pos_F03_S351_comb,3,1,1,7,4,3,318,10,1,6,9,11,1,3,7,T Cell,3,2
1223,cy79_p5_CD45_neg_PDL1_pos_F05_S737_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1224,cy82_CD45_pos_1_D06_S522_comb,15,2,3,6,3,3,172,12,7,19,6,24,6,13,12,CAF,3,6
1225,cy81_Bulk_CD45_neg_G02_S170_comb,7,1,2,8,5,2,3,12,8,15,4,26,3,8,3,Melanoma,2,1
1226,cy80_CD45_neg_A04_S868_comb,14,2,9,7,3,5,7,8,7,21,6,25,6,12,12,Endothelial,5,5
1227,cy79_p4_CD45_neg_PDL1_neg_A11_S1067_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1228,cy79_p4_CD45_neg_PDL1_neg_G06_S1134_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1229,cy79_p4_CD45_pos_PD1_pos_G12_S372_comb,2,1,2,2,1,1,1331,3,1,14,16,11,1,2,14,T Cell,1,2
1230,cy80_CD45_neg_C08_S896_comb,9,2,7,2,8,3,2493,5,5,5,7,22,7,7,13,Melanoma,3,1
1231,cy80_CD45_neg_C03_S891_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1232,cy79_p4_CD45_pos_PD1_pos_H03_S375_comb,2,1,2,2,10,1,2300,3,1,14,16,11,1,1,14,T Cell,1,2
1233,cy79_p5_CD45_pos_PD1_pos_B01_S589_comb,2,1,1,2,1,3,1479,3,1,9,15,11,1,1,14,T Cell,3,2
1234,cy79_p5_CD45_neg_PDL1_pos_B09_S693_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1235,cy82_CD45_pos_3_H01_S85_comb,7,2,3,3,6,2,7,1,8,8,3,24,2,14,3,Melanoma,2,1
1236,cy79_p5_CD45_neg_PDL1_neg_D05_S809_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1237,cy79_p4_CD45_neg_PDL1_pos_B05_S401_comb,4,2,5,6,6,2,7,6,8,3,11,4,6,4,6,T Cell,2,2
1238,cy79_p5_CD45_neg_PDL1_neg_C04_S796_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1239,cy79_p4_CD45_neg_PDL1_neg_G12_S1140_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1240,cy82_CD45_pos_3_A07_S7_comb,5,1,2,5,4,3,1716,3,1,9,15,15,1,1,5,NK,3,7
1241,cy79_p5_CD45_neg_PDL1_pos_A05_S677_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,15,Melanoma,2,1
1242,cy79_p5_CD45_pos_PD1_pos_D06_S618_comb,5,1,1,7,4,3,719,2,1,20,15,9,1,1,14,T Cell,3,2
1243,cy79_p5_CD45_pos_PD1_pos_C05_S605_comb,2,1,1,2,1,4,758,3,1,1,2,11,1,1,14,T Cell,4,2
1244,cy80_CD45_neg_F01_S925_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1245,cy81_Bulk_CD45_neg_G06_S174_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
1246,cy79_p4_CD45_neg_PDL1_pos_G04_S460_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1247,cy79_p5_CD45_pos_PD1_pos_D01_S613_comb,5,1,1,2,1,3,1332,2,1,20,15,8,1,1,14,T Cell,3,2
1248,cy79_p5_CD45_neg_PDL1_pos_F10_S742_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1249,cy79_p4_CD45_pos_PD1_pos_F12_S360_comb,1,1,2,5,10,1,2544,2,2,18,5,8,3,1,14,T Cell,1,2
1250,cy80_CD45_neg_D02_S902_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1251,cy79_p4_CD45_neg_PDL1_neg_B07_S1075_comb,4,2,5,6,6,2,7,1,8,3,11,4,6,4,6,Melanoma,2,1
1252,cy79_p4_CD45_neg_PDL1_pos_B03_S399_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1253,cy82_CD45_pos_3_H10_S94_comb,2,1,1,2,1,4,1,3,1,1,2,11,1,1,14,T Cell,4,2
1254,cy80_CD45_neg_B08_S884_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1255,cy79_p5_CD45_neg_PDL1_pos_D09_S717_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1256,cy80_CD45_neg_F08_S932_comb,12,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1257,cy79_p4_CD45_pos_PD1_pos_H07_S379_comb,2,1,1,2,10,1,1927,2,1,14,5,17,1,1,14,T Cell,1,2
1258,cy81_FNA_CD45_neg_E09_S1017_comb,7,2,3,3,5,2,3,1,8,8,13,26,2,8,10,Melanoma,2,1
1259,cy79_p4_CD45_pos_PD1_pos_C09_S321_comb,5,1,1,4,10,3,1240,2,1,20,15,11,1,1,14,T Cell,3,2
1260,cy79_p5_CD45_neg_PDL1_pos_C04_S700_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1261,cy82_CD45_pos_1_G10_S562_comb,5,1,2,4,10,1,2053,2,1,4,5,12,1,1,14,T Cell,1,2
1262,cy82_CD45_pos_1_B11_S503_comb,7,2,3,3,6,2,3,1,8,8,3,24,2,14,3,Melanoma,2,1
1263,cy79_p4_CD45_neg_PDL1_pos_D09_S429_comb,4,2,5,6,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1264,cy82_CD45_pos_1_D01_S517_comb,7,2,3,3,6,2,3,1,8,8,3,24,2,14,3,Melanoma,2,1
1265,cy82_CD45_pos_3_B12_S24_comb,9,2,7,5,8,3,10,5,5,5,7,22,7,7,13,Macrophage,3,4
1266,cy79_p4_CD45_neg_PDL1_pos_H05_S473_comb,4,2,5,6,6,2,203,1,8,3,11,4,5,4,6,Melanoma,2,1
1267,cy79_p4_CD45_neg_PDL1_pos_B08_S404_comb,4,2,5,5,6,2,7,0,8,3,11,4,5,4,6,Melanoma,2,1
1268,cy80_CD45_neg_E05_S917_comb,8,2,3,3,6,2,4,1,8,13,13,28,2,10,11,Melanoma,2,1
1269,cy79_p5_CD45_pos_PD1_pos_E06_S630_comb,2,1,1,2,1,4,400,3,1,1,2,11,1,1,14,T Cell,4,2
1270,cy79_p4_CD45_neg_PDL1_pos_C06_S414_comb,4,2,5,3,6,2,7,1,8,3,11,4,5,4,6,Melanoma,2,1
1271,cy79_p5_CD45_pos_PD1_pos_B10_S598_comb,2,1,1,2,1,4,396,3,1,1,2,11,1,1,14,T Cell,4,2
1272,cy81_Bulk_CD45_neg_H12_S192_comb,7,2,3,6,5,2,3,6,8,8,13,26,6,8,3,Melanoma,2,1
