GeneSym	Count_NonImmune	NonImmuneEnrichment
SPAG16	26	0.38
GDI2	26	0.38
DUS2L	26	0.38
PRICKLE4	26	0.38
RPN1	26	0.38
221743_at	26	0.38
HGSNAT	26	0.38
QRICH1	26	0.38
DYNLRB1	26	0.38
TOMM20	26	0.38
VPS33A	26	0.38
PPP2R1A	26	0.38
TSG101	26	0.38
PPP2R4	26	0.38
UBE2E3	26	0.38
PSMD6	26	0.38
ZNF580	26	0.38
MOSPD3	26	0.38
GFAP	25	0.37
CHGB	25	0.37
PNMA2	25	0.37
NEFM	25	0.37
TUBB4	25	0.37
FAM107A	25	0.37
CAMK2B	25	0.37
CXCL14	25	0.37
SNAP91	25	0.37
PTPRZ1	25	0.37
BLVRB	25	0.37
ARNT2	25	0.37
PNMAL1	25	0.37
SYT11	25	0.37
COBL	25	0.37
NNAT	25	0.37
NFASC	25	0.37
WASF1	25	0.37
CDH2	25	0.37
FGF13	25	0.37
ADAMTS1	25	0.37
QDPR	25	0.37
CPEB1	25	0.37
SASH1	25	0.37
DUSP26	25	0.37
PRELP	25	0.37
FAM131B	25	0.37
PFTK1	25	0.37
INPP5A	25	0.37
CD200	25	0.37
217673_x_at	25	0.37
PCGF2	25	0.37
TUBG2	25	0.37
WBP2	25	0.37
PLP2	25	0.37
PPP3CB	25	0.37
FBXL2	25	0.37
PPP2R5A	25	0.37
MOAP1	25	0.37
SYNGR2	25	0.37
MOSC1	25	0.37
NECAB3	25	0.37
RNPEP	25	0.37
KCTD12	25	0.37
POL3S	25	0.37
TSPAN3	25	0.37
LANCL1	25	0.37
ADD3	25	0.37
AOF2	25	0.37
NCK2	25	0.37
GOSR2	25	0.37
SCN10A	25	0.37
FAM53C	25	0.37
CLNS1A	25	0.37
RCAN1	25	0.37
GLUL	25	0.37
VPS37C	25	0.37
201051_at	25	0.37
PARP1	25	0.37
CTNNAL1	25	0.37
HPRT1	25	0.37
B4GALT5	25	0.37
PRPF19	25	0.37
CAPZA1	25	0.37
C14orf156	25	0.37
ATP6V1E1	25	0.37
HNRNPM	25	0.37
NDUFA7	25	0.37
POGZ	25	0.37
MAT2B	25	0.37
BRD3	25	0.37
U2AF2	25	0.37
EFR3A	25	0.37
YWHAB	25	0.37
MPRIP	25	0.37
DULLARD	25	0.37
WBP11P1	25	0.37
MTX1	25	0.37
HN1L	25	0.37
GLOD4	25	0.37
MAN2B2	25	0.37
ARMET	25	0.37
VGLL4	25	0.37
GTF2H5	25	0.37
STRAP	25	0.37
PDCL3	25	0.37
ZNF611	25	0.37
IARS2	25	0.37
HS1BP3	25	0.37
TMEM222	25	0.37
PEF1	25	0.37
COASY	25	0.37
SUMO4	25	0.37
NEFL	24	0.35
RGS4	24	0.35
CHN1	24	0.35
EMP2	24	0.35
EGFR	24	0.35
NEBL	24	0.35
C14orf132	24	0.35
APLP1	24	0.35
PDE8B	24	0.35
DNAJC6	24	0.35
NOVA1	24	0.35
PAQR6	24	0.35
SYNGR3	24	0.35
MATN2	24	0.35
DPYSL3	24	0.35
RARRES2	24	0.35
AQP1	24	0.35
RELN	24	0.35
IFI27	24	0.35
ATP1B2	24	0.35
CHL1	24	0.35
EHD3	24	0.35
GNA11	24	0.35
ITGA7	24	0.35
PLAT	24	0.35
218380_at	24	0.35
CRYM	24	0.35
B3GAT1	24	0.35
EHD2	24	0.35
PALM	24	0.35
PKP4	24	0.35
PRKCA	24	0.35
CAMSAP1L1	24	0.35
ALDH1A1	24	0.35
PLOD1	24	0.35
KANK2	24	0.35
CDO1	24	0.35
LMO2	24	0.35
MGAT3	24	0.35
RNF114	24	0.35
GRN	24	0.35
CDH10	24	0.35
WWC1	24	0.35
FUCA1	24	0.35
PAIP2B	24	0.35
PLXNB1	24	0.35
JAM2	24	0.35
TRIOBP	24	0.35
ATP6V0A1	24	0.35
ELMO1	24	0.35
ATP6V1B2	24	0.35
EIF2AK1	24	0.35
PRODH	24	0.35
GRAMD3	24	0.35
AUTS2	24	0.35
ROGDI	24	0.35
VAMP8	24	0.35
MAP7	24	0.35
204037_at	24	0.35
EVL	24	0.35
217329_x_at	24	0.35
HLA-E	24	0.35
HCG2P7	24	0.35
B4GALT1	24	0.35
POLR3K	24	0.35
NOP10	24	0.35
PSME2	24	0.35
BBS1	24	0.35
ACTN4	24	0.35
DMWD	24	0.35
PSME1	24	0.35
C14orf159	24	0.35
ID2	24	0.35
SFRS14	24	0.35
SH3YL1	24	0.35
RAP1A	24	0.35
C1QBP	24	0.35
ATP6V0E1	24	0.35
UAP1	24	0.35
SEC11A	24	0.35
MLX	24	0.35
ARHGAP1	24	0.35
EIF4A1	24	0.35
209944_at	24	0.35
216380_x_at	24	0.35
ESD	24	0.35
RPL23	24	0.35
208120_x_at	24	0.35
EXOC7	24	0.35
FNTA	24	0.35
YWHAQ	24	0.35
PIPSL	24	0.35
FAU	24	0.35
ERGIC3	24	0.35
ZMYM6	24	0.35
LLGL1	24	0.35
C16orf62	24	0.35
BECN1	24	0.35
PSMC1	24	0.35
SRP9	24	0.35
IPO7	24	0.35
EIF4G2	24	0.35
ZNF419	24	0.35
C1orf2	24	0.35
SST	23	0.34
STMN2	23	0.34
SERPINA3	23	0.34
C4B	23	0.34
GRIA2	23	0.34
INA	23	0.34
TUBB2B	23	0.34
ATP6V1G2	23	0.34
NTRK2	23	0.34
AGXT2L1	23	0.34
STMN4	23	0.34
NEFH	23	0.34
PCSK1N	23	0.34
SORBS2	23	0.34
ENO2	23	0.34
41156	23	0.34
CYR61	23	0.34
ATP1A3	23	0.34
NRCAM	23	0.34
GNG3	23	0.34
213486_at	23	0.34
TTYH1	23	0.34
SLC6A1	23	0.34
DYNC1I1	23	0.34
FAIM2	23	0.34
COL15A1	23	0.34
KIF3C	23	0.34
TPBG	23	0.34
DAAM2	23	0.34
MT3	23	0.34
212559_at	23	0.34
BAALC	23	0.34
NRXN1	23	0.34
SERPINI1	23	0.34
KLC1	23	0.34
NDRG2	23	0.34
NXN	23	0.34
LTBP2	23	0.34
LDB2	23	0.34
SV2A	23	0.34
GPD1L	23	0.34
GPRASP1	23	0.34
213386_at	23	0.34
CADM1	23	0.34
FBXO2	23	0.34
SCN1B	23	0.34
MAPK10	23	0.34
RGS5	23	0.34
SLC22A17	23	0.34
PREPL	23	0.34
LIPA	23	0.34
LPAR1	23	0.34
GRIK2	23	0.34
PKIA	23	0.34
KIAA1467	23	0.34
RAB11FIP5	23	0.34
HOMER1	23	0.34
GLT25D2	23	0.34
213710_s_at	23	0.34
ZNF532	23	0.34
HNT	23	0.34
CALM3	23	0.34
WFS1	23	0.34
ACYP2	23	0.34
YES1	23	0.34
IFNGR2	23	0.34
PRNP	23	0.34
SLC7A8	23	0.34
FAM60A	23	0.34
RHOC	23	0.34
VWA1	23	0.34
RAP2A	23	0.34
AHCYL1	23	0.34
GLB1	23	0.34
SLC39A6	23	0.34
TES	23	0.34
CLDND1	23	0.34
ARHGDIB	23	0.34
NPDC1	23	0.34
NPM1	23	0.34
IDH1	23	0.34
ATP6AP1	23	0.34
HMGN1	23	0.34
SNAP23	23	0.34
212761_at	23	0.34
TOP1P1	23	0.34
TNRC4	23	0.34
FAM62A	23	0.34
EEF1B2	23	0.34
CTSA	23	0.34
HMGN4	23	0.34
TCEAL1	23	0.34
SLC1A5	23	0.34
DDIT4	23	0.34
RAP1GDS1	23	0.34
PDIA3	23	0.34
MAPK1IP1L	23	0.34
ALG5	23	0.34
NDUFB5	23	0.34
TSR2	23	0.34
RAB9A	23	0.34
TMED10P	23	0.34
GOLPH3	23	0.34
ERLIN1	23	0.34
PHF10	23	0.34
207730_x_at	23	0.34
TMEM43	23	0.34
UBQLN2	23	0.34
221844_x_at	23	0.34
GAK	23	0.34
LMBRD1	23	0.34
MAGEF1	23	0.34
TMED10	23	0.34
SLC38A10	23	0.34
SURF1	23	0.34
HNRNPK	23	0.34
GPAA1	23	0.34
ITPA	23	0.34
TEX261	23	0.34
NDUFS4	23	0.34
SNAP25	22	0.32
SLPI	22	0.32
PPL	22	0.32
NNMT	22	0.32
MOBP	22	0.32
203999_at	22	0.32
RTN1	22	0.32
GPM6A	22	0.32
THY1	22	0.32
GAP43	22	0.32
DNM1	22	0.32
RUNDC3A	22	0.32
SH3GL2	22	0.32
SYN1	22	0.32
CRMP1	22	0.32
CAV1	22	0.32
SLC1A3	22	0.32
NMNAT2	22	0.32
OPCML	22	0.32
SLC12A5	22	0.32
FUT9	22	0.32
PHYHIP	22	0.32
KRT8	22	0.32
CORO2B	22	0.32
AMPH	22	0.32
F3	22	0.32
TIAM1	22	0.32
ASTN1	22	0.32
CTGF	22	0.32
SLC25A4	22	0.32
CTNNA2	22	0.32
MEIS2	22	0.32
FER1L3	22	0.32
RUFY3	22	0.32
ASRGL1	22	0.32
NELL2	22	0.32
TRIM9	22	0.32
ARHGEF4	22	0.32
CLEC3B	22	0.32
TMEM30B	22	0.32
VWF	22	0.32
RND3	22	0.32
ERBB2	22	0.32
D4S234E	22	0.32
MEG3	22	0.32
PAK3	22	0.32
RAB3A	22	0.32
FKBP1B	22	0.32
219659_at	22	0.32
PPP2R2B	22	0.32
CTSB	22	0.32
AGAP1	22	0.32
UNC13B	22	0.32
SYP	22	0.32
NEDD4L	22	0.32
KBTBD11	22	0.32
GOLM1	22	0.32
COL16A1	22	0.32
FAM46A	22	0.32
VAMP2	22	0.32
C6orf145	22	0.32
203159_at	22	0.32
BRP44L	22	0.32
RHOQ	22	0.32
CSTB	22	0.32
LMO4	22	0.32
SATB1	22	0.32
LTA4H	22	0.32
RASSF2	22	0.32
TEAD3	22	0.32
P4HB	22	0.32
FBXO41	22	0.32
203906_at	22	0.32
HLA-F	22	0.32
CYFIP2	22	0.32
MAP4K4	22	0.32
200904_at	22	0.32
GDI1	22	0.32
PIP4K2B	22	0.32
DEAF1	22	0.32
ALDH7A1	22	0.32
BTG1	22	0.32
ADFP	22	0.32
ASAP2	22	0.32
FTSJ1	22	0.32
RCN1	22	0.32
TXN	22	0.32
ZBTB16	22	0.32
PPP1R13B	22	0.32
PLEKHA5	22	0.32
WDR26	22	0.32
IDI1	22	0.32
VAT1	22	0.32
SLC12A7	22	0.32
CDK4	22	0.32
HDAC1	22	0.32
EIF2S1	22	0.32
CD47	22	0.32
MRPL12	22	0.32
ETFB	22	0.32
BAT3	22	0.32
ACTR3	22	0.32
CAMLG	22	0.32
MRPL33	22	0.32
JAG2	22	0.32
SEC61G	22	0.32
BRD2	22	0.32
MTCP1	22	0.32
MACF1	22	0.32
SSBP1	22	0.32
RPL36AL	22	0.32
SF3B3	22	0.32
PTMS	22	0.32
MAP7D1	22	0.32
MED15	22	0.32
PVRL2	22	0.32
SNX5	22	0.32
WDR59	22	0.32
GRINA	22	0.32
ERN2	22	0.32
RBM5	22	0.32
CHERP	22	0.32
VPS35	22	0.32
RAB2A	22	0.32
C19orf56	22	0.32
HSPA9	22	0.32
219392_x_at	22	0.32
AHSA1	22	0.32
217363_x_at	22	0.32
OVCA2	22	0.32
214174_s_at	22	0.32
COL1A1	21	0.31
SELENBP1	21	0.31
COL1A2	21	0.31
INS-IGF2	21	0.31
ADH1B	21	0.31
GABBR2	21	0.31
FOXG1	21	0.31
GDF1	21	0.31
ZNF365	21	0.31
213841_at	21	0.31
NCAN	21	0.31
DNM3	21	0.31
SV2B	21	0.31
DIRAS2	21	0.31
213484_at	21	0.31
MAL	21	0.31
NPTXR	21	0.31
A2BP1	21	0.31
CTNND2	21	0.31
OMG	21	0.31
CALY	21	0.31
213904_at	21	0.31
C11orf9	21	0.31
GRM3	21	0.31
DDX25	21	0.31
PCDHA1	21	0.31
DPP6	21	0.31
NAP1L3	21	0.31
CA11	21	0.31
ERBB4	21	0.31
APBA2	21	0.31
KIAA0513	21	0.31
ARHGEF9	21	0.31
DOCK3	21	0.31
213832_at	21	0.31
CBR1	21	0.31
MAP6D1	21	0.31
MLC1	21	0.31
CNP	21	0.31
KIF1B	21	0.31
PARVA	21	0.31
GLS2	21	0.31
RIMBP2	21	0.31
KCNC1	21	0.31
TMEM132A	21	0.31
FBXO7	21	0.31
PLK2	21	0.31
ITGB5	21	0.31
GLS	21	0.31
EFNA1	21	0.31
CTSC	21	0.31
H1FX	21	0.31
SLC48A1	21	0.31
APBB1	21	0.31
PLSCR4	21	0.31
213489_at	21	0.31
METRN	21	0.31
SHC2	21	0.31
C18orf10	21	0.31
213834_at	21	0.31
ATP8A1	21	0.31
TSPYL4	21	0.31
SLC25A22	21	0.31
LITAF	21	0.31
PDGFRB	21	0.31
TSPO	21	0.31
FABP5	21	0.31
CTNND1	21	0.31
XBP1	21	0.31
KLF2	21	0.31
ENAH	21	0.31
ST6GAL1	21	0.31
IQGAP1	21	0.31
ARL4D	21	0.31
ROBO1	21	0.31
PTPRM	21	0.31
212357_at	21	0.31
MEA1	21	0.31
TALDO1	21	0.31
ECH1	21	0.31
AKR1A1	21	0.31
CBX6	21	0.31
DNMT1	21	0.31
SPSB3	21	0.31
SNRPB	21	0.31
ETF1	21	0.31
PJA1	21	0.31
TSC22D4	21	0.31
TRMT5	21	0.31
TAPBP	21	0.31
CAP1	21	0.31
217266_at	21	0.31
MOCS2	21	0.31
MSN	21	0.31
221760_at	21	0.31
PGLS	21	0.31
ZNF706	21	0.31
WNT10B	21	0.31
YTHDF2	21	0.31
STX16	21	0.31
CCDC28A	21	0.31
AARS	21	0.31
208731_at	21	0.31
OXA1L	21	0.31
PLOD3	21	0.31
NOTCH4	21	0.31
UBE2M	21	0.31
AP2M1	21	0.31
CARS	21	0.31
202603_at	21	0.31
SS18L2	21	0.31
CAPRIN2	21	0.31
FAHD2B	21	0.31
MAPK6	21	0.31
NCSTN	21	0.31
AP3S2	21	0.31
CDIPT	21	0.31
LTBR	21	0.31
CAPRIN1	21	0.31
TXNL4B	21	0.31
TMEM59	21	0.31
217715_x_at	21	0.31
ZNF629	21	0.31
215373_x_at	21	0.31
ZNHIT1	21	0.31
COPG	21	0.31
ACTR1B	21	0.31
C15orf24	21	0.31
GANAB	21	0.31
OLFM1	20	0.29
CYP46A1	20	0.29
DCLK1	20	0.29
TACSTD1	20	0.29
RIMS3	20	0.29
LPPR4	20	0.29
AK5	20	0.29
MYT1L	20	0.29
NCDN	20	0.29
PPP1R3C	20	0.29
RGS7	20	0.29
SPP1	20	0.29
213411_at	20	0.29
205230_at	20	0.29
PCSK2	20	0.29
MCF2L	20	0.29
GABBR1	20	0.29
ABCA3	20	0.29
CAMTA1	20	0.29
NCALD	20	0.29
NAV3	20	0.29
PCSK6	20	0.29
PCLO	20	0.29
NAP1L2	20	0.29
LRRTM2	20	0.29
MAGI2	20	0.29
HLF	20	0.29
DBC1	20	0.29
CDK5R1	20	0.29
NRXN2	20	0.29
RBM47	20	0.29
215311_at	20	0.29
213960_at	20	0.29
SNX10	20	0.29
PDZD2	20	0.29
221651_x_at	20	0.29
SCAMP5	20	0.29
BAI2	20	0.29
DNAJC12	20	0.29
ASPH	20	0.29
TNXB	20	0.29
SLC39A14	20	0.29
DSG2	20	0.29
INPP5F	20	0.29
ALDH6A1	20	0.29
S100A4	20	0.29
LSR	20	0.29
HIP1R	20	0.29
TBC1D3E	20	0.29
SEC14L5	20	0.29
KIAA0574	20	0.29
SPTBN2	20	0.29
SYNE2	20	0.29
TAX1BP3	20	0.29
RND2	20	0.29
NSF	20	0.29
TCEA2	20	0.29
NOTCH3	20	0.29
HADHB	20	0.29
SLC9A6	20	0.29
220725_x_at	20	0.29
ADAP1	20	0.29
SCAMP1	20	0.29
ARPC1B	20	0.29
211976_at	20	0.29
PI4KAP2	20	0.29
SUCLG2	20	0.29
UBE2H	20	0.29
NCKIPSD	20	0.29
BSG	20	0.29
DLG3	20	0.29
PPT1	20	0.29
DAPK1	20	0.29
TGIF1	20	0.29
MKRN1	20	0.29
PTMA	20	0.29
GLRXL	20	0.29
TJP2	20	0.29
CITED2	20	0.29
213266_at	20	0.29
CABIN1	20	0.29
AKAP11	20	0.29
SIDT2	20	0.29
TNIP2	20	0.29
LRIG1	20	0.29
FADS1	20	0.29
EIF4A3	20	0.29
SEC61A1	20	0.29
PPP1R7	20	0.29
CTDSPL	20	0.29
SNRPG	20	0.29
CCBL2	20	0.29
CHCHD8	20	0.29
UBAP2	20	0.29
CYCS	20	0.29
FLII	20	0.29
CCNG1	20	0.29
TUSC2	20	0.29
212640_at	20	0.29
SNRNP200	20	0.29
217760_at	20	0.29
TXNDC15	20	0.29
UBE2NL	20	0.29
WIPI2	20	0.29
TSC2	20	0.29
DGCR2	20	0.29
HMGB1	20	0.29
HOXC4	20	0.29
YTHDF1	20	0.29
PSMA2	20	0.29
NAPA	20	0.29
COPS8	20	0.29
219893_at	20	0.29
213227_at	20	0.29
HARS	20	0.29
213852_at	20	0.29
208246_x_at	20	0.29
UBE2Z	20	0.29
WDR61	20	0.29
WDR45	20	0.29
217264_s_at	20	0.29
NAG	20	0.29
JARID1C	20	0.29
207436_x_at	20	0.29
IMP4	20	0.29
TINF2	20	0.29
PRKCSH	20	0.29
CCDC25	20	0.29
KRT19	19	0.28
PPP1R1A	19	0.28
HMP19	19	0.28
SYT1	19	0.28
OGDHL	19	0.28
GAD1	19	0.28
SULT4A1	19	0.28
205737_at	19	0.28
214839_at	19	0.28
NPTX1	19	0.28
CAMK2A	19	0.28
LGI1	19	0.28
FXYD7	19	0.28
HPCAL4	19	0.28
GAD2	19	0.28
C7	19	0.28
SEMA3B	19	0.28
SLC8A2	19	0.28
SNCB	19	0.28
RALYL	19	0.28
MAG	19	0.28
GPR37	19	0.28
GAS1	19	0.28
CA2	19	0.28
PCDH9	19	0.28
TACC2	19	0.28
TPPP	19	0.28
RFPL1S	19	0.28
SPINT1	19	0.28
IGFBP2	19	0.28
TST	19	0.28
221671_x_at	19	0.28
SNPH	19	0.28
213630_at	19	0.28
RAB26	19	0.28
CCKBR	19	0.28
SNX7	19	0.28
EFS	19	0.28
41157	19	0.28
NAV2	19	0.28
BAMBI	19	0.28
LRP4	19	0.28
213927_at	19	0.28
ABLIM3	19	0.28
GLRX5	19	0.28
PPP3CA	19	0.28
RICH2	19	0.28
BEGAIN	19	0.28
FAM131A	19	0.28
RIMS2	19	0.28
C20orf39	19	0.28
CLCN4	19	0.28
PPP1R16B	19	0.28
ARMCX2	19	0.28
TMEM59L	19	0.28
ITPR3	19	0.28
PDGFC	19	0.28
PDE4A	19	0.28
TNFRSF10B	19	0.28
JAKMIP2	19	0.28
BTBD3	19	0.28
QSOX1	19	0.28
213158_at	19	0.28
APLP2	19	0.28
BZW2	19	0.28
TULP4	19	0.28
ARHGEF18	19	0.28
MYD88	19	0.28
FASN	19	0.28
MAP4	19	0.28
HS3ST2	19	0.28
TNKS	19	0.28
NOL3	19	0.28
PSMD9	19	0.28
ME3	19	0.28
TKT	19	0.28
NOS1AP	19	0.28
ASPHD1	19	0.28
AGRN	19	0.28
HOOK2	19	0.28
CROT	19	0.28
CDC14B	19	0.28
RPS10	19	0.28
MEIS3P1	19	0.28
VDAC1	19	0.28
217249_x_at	19	0.28
ZNF236	19	0.28
ARL2	19	0.28
ADI1	19	0.28
MRPS34	19	0.28
UQCRB	19	0.28
HERC1	19	0.28
CREG1	19	0.28
DHX15	19	0.28
MGAT1	19	0.28
PSMA1	19	0.28
BTF3	19	0.28
GNPDA1	19	0.28
PDE8A	19	0.28
ERP29	19	0.28
GNB1	19	0.28
212196_at	19	0.28
PNRC1	19	0.28
RALBP1	19	0.28
AFFX-M27830_5_at	19	0.28
ADIPOR1	19	0.28
NUP43	19	0.28
EIF1B	19	0.28
HERC2P2	19	0.28
PNO1	19	0.28
TMEM66	19	0.28
216791_at	19	0.28
HIF1A	19	0.28
DHX32	19	0.28
PRKRIP1	19	0.28
RBPJ	19	0.28
SPTLC1	19	0.28
RRAGC	19	0.28
212498_at	19	0.28
GOLGA8E	19	0.28
HBXIP	19	0.28
SNX17	19	0.28
YLPM1	19	0.28
FLJ10404	19	0.28
TMEM93	19	0.28
RYK	19	0.28
BCL7C	19	0.28
RPL41	19	0.28
IQCC	19	0.28
INO80B	19	0.28
ZIC1	18	0.26
PAX6	18	0.26
ARPP-21	18	0.26
HPCA	18	0.26
ADCY1	18	0.26
KRT7	18	0.26
CCK	18	0.26
NRGN	18	0.26
IGFBP3	18	0.26
FXYD3	18	0.26
SCN3B	18	0.26
GABRA1	18	0.26
COL4A1	18	0.26
PSMAL	18	0.26
CACNA1A	18	0.26
213676_at	18	0.26
KIT	18	0.26
LHPP	18	0.26
COL4A2	18	0.26
GNAO1	18	0.26
AQP3	18	0.26
TM4SF1	18	0.26
BACE2	18	0.26
213925_at	18	0.26
CSPG5	18	0.26
DHCR24	18	0.26
BSN	18	0.26
SLC1A1	18	0.26
CAMKV	18	0.26
AAK1	18	0.26
CRIP2	18	0.26
PGBD5	18	0.26
CHST1	18	0.26
BAI3	18	0.26
SYN2	18	0.26
LAMB1	18	0.26
PDE2A	18	0.26
DCXR	18	0.26
ST6GALNAC2	18	0.26
MXRA5	18	0.26
PADI2	18	0.26
GRIA1	18	0.26
IRS1	18	0.26
TLN2	18	0.26
SCG3	18	0.26
KIAA1598	18	0.26
SEMA6A	18	0.26
CDS1	18	0.26
PDZRN3	18	0.26
213609_s_at	18	0.26
DZIP1	18	0.26
APC2	18	0.26
CAMK2G	18	0.26
C22orf9	18	0.26
SQRDL	18	0.26
CLIP2	18	0.26
ADORA1	18	0.26
KLC2	18	0.26
EPHB6	18	0.26
PHLPP	18	0.26
ACTN1	18	0.26
HDGF	18	0.26
ARF3	18	0.26
PTPRN	18	0.26
SCPEP1	18	0.26
MPP1	18	0.26
TNFSF10	18	0.26
HLA-DRA	18	0.26
ACOT7	18	0.26
CREB3L2	18	0.26
SYNPO	18	0.26
SFRS2B	18	0.26
GUSB	18	0.26
BCAN	18	0.26
CYBA	18	0.26
MYC	18	0.26
F11R	18	0.26
PIN1	18	0.26
MRPL9	18	0.26
MED24	18	0.26
FUT8	18	0.26
AHI1	18	0.26
HEXA	18	0.26
PLTP	18	0.26
ELOVL1	18	0.26
ARHGAP5	18	0.26
BUB3	18	0.26
PPP6C	18	0.26
CSNK1G2	18	0.26
CISD1	18	0.26
AACS	18	0.26
EZR	18	0.26
SARS	18	0.26
TOB1	18	0.26
OAZ2	18	0.26
INPP1	18	0.26
AMT	18	0.26
ROCK2	18	0.26
EXOSC7	18	0.26
GTF3C1	18	0.26
FAM164A	18	0.26
MRPS7	18	0.26
ILF2	18	0.26
LOC552891	18	0.26
DAP	18	0.26
NSUN5C	18	0.26
211454_x_at	18	0.26
CDC40	18	0.26
POLR2G	18	0.26
TXNDC13	18	0.26
GDE1	18	0.26
ZMPSTE24	18	0.26
NCBP2	18	0.26
UNC50	18	0.26
CAPZB	18	0.26
212812_at	18	0.26
DPM1	18	0.26
BIRC7	18	0.26
208732_at	18	0.26
212296_at	18	0.26
VPS24	18	0.26
HNRNPA2B1	18	0.26
COPS4	18	0.26
SRRM1	18	0.26
CCNC	18	0.26
TTC1	18	0.26
ACTR10	18	0.26
ZNF384	18	0.26
RAB3IL1	18	0.26
TOMM40	18	0.26
MYBPC1	17	0.25
ACTG2	17	0.25
SCNN1A	17	0.25
ENC1	17	0.25
CDH11	17	0.25
SLC4A3	17	0.25
TIMP3	17	0.25
ELAVL4	17	0.25
NPY	17	0.25
RBP1	17	0.25
THBS2	17	0.25
SPON2	17	0.25
209200_at	17	0.25
LY6H	17	0.25
RNF128	17	0.25
EPB41L4B	17	0.25
FA2H	17	0.25
TMEM158	17	0.25
NES	17	0.25
214098_at	17	0.25
KCNJ4	17	0.25
209763_at	17	0.25
KCNB1	17	0.25
P4HA2	17	0.25
NELF	17	0.25
TMEFF1	17	0.25
NID1	17	0.25
ABCA2	17	0.25
PTPRD	17	0.25
SLCO2A1	17	0.25
SLITRK5	17	0.25
ARHGDIG	17	0.25
IMPA2	17	0.25
SMARCD3	17	0.25
PRKCB	17	0.25
MAST3	17	0.25
BIN1	17	0.25
215056_at	17	0.25
PSRC1	17	0.25
SRGAP3	17	0.25
PCDH17	17	0.25
209683_at	17	0.25
RPS6KA2	17	0.25
hCG_18385	17	0.25
PCBD1	17	0.25
AP3B2	17	0.25
RICS	17	0.25
FGF1	17	0.25
H1F0	17	0.25
SLC35A3	17	0.25
C12orf24	17	0.25
MID1	17	0.25
ADCY9	17	0.25
FAM153A	17	0.25
ARHGEF10	17	0.25
VAMP1	17	0.25
RRAS	17	0.25
RNF41	17	0.25
PPP2R5B	17	0.25
SNED1	17	0.25
CLSTN3	17	0.25
EHD4	17	0.25
TNIP1	17	0.25
ADAM9	17	0.25
221589_s_at	17	0.25
BDH2	17	0.25
222116_s_at	17	0.25
RAI2	17	0.25
MAPK8IP2	17	0.25
TRPV6	17	0.25
CTNNBIP1	17	0.25
ST3GAL5	17	0.25
SERBP1	17	0.25
KIAA0256	17	0.25
AP3M2	17	0.25
202132_at	17	0.25
TMED3	17	0.25
PRKAR1B	17	0.25
RBCK1	17	0.25
INSR	17	0.25
ATP6AP2	17	0.25
212528_at	17	0.25
MTCH2	17	0.25
EIF4EBP1	17	0.25
DLD	17	0.25
MYH9	17	0.25
SNRPA	17	0.25
YWHAE	17	0.25
DENND4B	17	0.25
201651_s_at	17	0.25
SC4MOL	17	0.25
CDC2L2	17	0.25
CCT5	17	0.25
IDH3B	17	0.25
PTPRA	17	0.25
DDX41	17	0.25
USP7	17	0.25
WASF2	17	0.25
EIF3M	17	0.25
HMOX2	17	0.25
ZNF91	17	0.25
TCF20	17	0.25
SC5DL	17	0.25
COPS3	17	0.25
AGPAT1	17	0.25
FEZ2	17	0.25
FOXJ3	17	0.25
CTDSP1	17	0.25
COPB2	17	0.25
LRRC8D	17	0.25
CCNI	17	0.25
YARS	17	0.25
FAM108A1	17	0.25
208617_s_at	17	0.25
UNC13A	17	0.25
SFRS3	17	0.25
MRPS27	17	0.25
SIRT3	17	0.25
MAP3K5	17	0.25
VAC14	17	0.25
DHPS	17	0.25
PILRB	17	0.25
YY1	17	0.25
MGRN1	17	0.25
UGP2	17	0.25
COPB1	17	0.25
LOC158381	17	0.25
MAP1LC3B	17	0.25
PHKA2	17	0.25
LMAN2	17	0.25
WDR13	17	0.25
MTDH	17	0.25
PLEKHM2	17	0.25
UFD1L	17	0.25
DDX3X	17	0.25
215067_x_at	17	0.25
SPG20	17	0.25
PPP2R2A	17	0.25
RAB4A	17	0.25
POU6F1	17	0.25
SRP14	17	0.25
211693_at	17	0.25
TSPAN8	16	0.24
TACSTD2	16	0.24
PENK	16	0.24
SDC1	16	0.24
SLC17A7	16	0.24
PPP1R12B	16	0.24
CNN1	16	0.24
SNAI2	16	0.24
CHN2	16	0.24
SLC24A3	16	0.24
LL22NC03-75B3.6	16	0.24
AXL	16	0.24
CKAP4	16	0.24
214376_at	16	0.24
DOCK4	16	0.24
ERC2	16	0.24
CDH18	16	0.24
SLIT1	16	0.24
GATA6	16	0.24
DDN	16	0.24
RP11-35N6.1	16	0.24
LAMA2	16	0.24
ARPP-19	16	0.24
CFH	16	0.24
202254_at	16	0.24
SLIT2	16	0.24
PTPN3	16	0.24
MEIS1	16	0.24
LPHN3	16	0.24
CSDC2	16	0.24
MET	16	0.24
MAOB	16	0.24
SCN2A	16	0.24
CRIM1	16	0.24
213808_at	16	0.24
SNCG	16	0.24
ENTPD3	16	0.24
PTCH1	16	0.24
KIAA1045	16	0.24
HES1	16	0.24
C9orf3	16	0.24
KCTD13	16	0.24
CRAT	16	0.24
FSD1	16	0.24
HAGH	16	0.24
EXT1	16	0.24
C1orf21	16	0.24
212993_at	16	0.24
HLA-DPA1	16	0.24
SUSD4	16	0.24
PTPN13	16	0.24
MCAM	16	0.24
BHLHB3	16	0.24
ID3	16	0.24
