cell,altAnalyze,ascend,bigScale,cellranger,cidr,countClust,monocle,pcaReduce,phenograph,raceid,rca,sc3,scran,seurat,simlr,sincera,tscan,truth
RHC5580__Epithelial__.2749FE,24,3,1,2,2,3,3,9,2,2,0,6,1,1,7,14,2,Epithelial
RHC5582__Epithelial__.2749FE,1,2,9,1,11,1,5,13,6,3,1,6,1,2,1,7,2,Epithelial
RHC5585__Epithelial__.2749FE,37,1,1,3,14,7,4,9,4,11,8,9,1,1,5,15,3,Epithelial
RHC5586__Epithelial__.2749FE,1,2,6,1,14,1,8,1,3,4,12,2,1,4,1,7,3,Epithelial
RHC5592__Epithelial__.2749FE,1,2,9,1,10,1,7,14,3,9,3,2,1,2,1,7,6,Epithelial
RHC5594__Epithelial__.2749FE,1,2,6,1,14,1,8,17,5,4,20,2,1,4,5,7,4,Epithelial
RHC5597__Epithelial__.2749FE,1,1,9,1,2,1,5,12,3,3,1,6,1,2,2,14,2,Epithelial
RHC5598__Epithelial__.2749FE,1,2,6,1,14,1,8,17,5,4,3,2,1,4,5,7,6,Epithelial
RHC5599__Epithelial__.2749FE,1,1,9,4,2,1,5,9,3,11,0,6,1,2,6,14,2,Epithelial
RHC5600__Epithelial__.2749FE,1,1,9,2,2,1,5,13,3,3,0,6,1,1,1,14,3,Epithelial
RHC5601__Epithelial__.2749FE,1,1,1,2,9,1,5,13,1,5,7,6,1,2,1,14,3,Epithelial
RHC5602__Epithelial__.2749FE,1,2,9,1,11,1,5,13,3,2,1,6,1,2,1,14,3,Epithelial
RHC5604__Epithelial__.2749FE,1,2,6,1,14,1,8,17,5,3,1,2,1,4,5,7,3,Epithelial
RHC5605__Epithelial__.2749FE,1,1,9,1,11,1,7,13,1,2,4,6,1,2,1,14,2,Epithelial
RHC5606__Epithelial__.2749FE,1,1,9,2,11,1,5,12,3,3,1,6,1,5,2,14,2,Epithelial
RHC5607__Epithelial__.2749FE,1,2,1,3,10,1,3,18,3,9,3,3,1,1,1,15,2,Epithelial
RHC5608__Epithelial__.2749FE,35,1,6,1,14,1,8,1,4,11,3,2,1,4,6,4,3,Epithelial
RHC5610__Epithelial__.2749FE,1,1,6,1,8,1,8,5,6,3,1,6,1,4,1,14,3,Epithelial
RHC5611__Epithelial__.2749FE,1,2,6,1,2,1,8,1,5,3,1,2,1,4,1,7,3,Epithelial
RHC5612__Epithelial__.2749FE,1,2,6,1,14,1,8,17,5,3,1,2,1,4,5,7,6,Epithelial
RHC5613__Epithelial__.2749FE,1,2,6,1,14,1,8,17,5,4,4,2,1,4,5,7,6,Epithelial
RHC5614__Tcell__.C6E879,1,4,4,4,9,6,4,20,1,3,18,5,2,6,5,1,1,Tcell
RHC5615__Epithelial__.2749FE,1,2,6,1,14,1,8,17,3,3,9,2,1,4,5,7,6,Epithelial
RHC5616__Epithelial__.2749FE,41,1,1,5,8,5,3,10,4,3,0,12,2,1,7,2,3,Epithelial
RHC5617__Epithelial__.2749FE,19,1,1,5,8,5,3,10,2,3,0,12,2,1,7,2,3,Epithelial
RHC5620__Tcell__.C6E879,1,4,4,4,1,6,4,20,6,1,10,5,2,6,5,1,1,Tcell
RHC5622__Epithelial__.2749FE,1,2,1,3,7,1,6,9,3,3,1,6,1,1,2,11,2,Epithelial
RHC5623__Epithelial__.2749FE,1,1,9,2,11,1,1,13,1,3,9,6,1,2,1,14,2,Epithelial
RHC5624__Epithelial__.2749FE,35,1,6,1,8,1,7,5,4,3,0,6,1,4,1,14,3,Epithelial
RHC5626__Epithelial__.2749FE,1,2,6,1,14,1,8,17,6,4,1,2,1,4,5,7,6,Epithelial
RHC5627__Epithelial__.2749FE,1,2,6,1,14,1,8,17,5,5,4,2,1,4,5,7,6,Epithelial
RHC5628__Epithelial__.2749FE,1,1,1,5,8,5,3,10,2,3,9,12,2,1,6,2,3,Epithelial
RHC5629__Epithelial__.2749FE,1,2,9,1,11,1,5,13,6,3,9,6,1,2,1,7,2,Epithelial
RHC5632__Epithelial__.2749FE,1,2,9,1,10,1,7,1,5,9,14,2,1,2,5,7,6,Epithelial
RHC5633__Epithelial__.2749FE,1,2,1,3,2,3,3,30,3,9,11,3,1,1,5,15,6,Epithelial
RHC5637__Epithelial__.2749FE,1,1,9,1,9,1,6,22,3,11,3,4,1,2,6,4,6,Epithelial
RHC5643__Epithelial__.2749FE,1,1,6,1,9,1,5,5,6,3,0,6,1,2,1,14,3,Epithelial
RHC5644__Epithelial__.2749FE,1,1,1,2,11,1,5,12,1,3,1,6,1,1,2,14,2,Epithelial
RHC5646__Tcell__.C6E879,1,4,4,4,1,6,4,20,3,1,8,5,2,6,5,1,1,Tcell
RHC5647__Epithelial__.2749FE,1,2,1,3,10,4,3,30,5,4,4,3,1,1,5,11,6,Epithelial
RHC5658__Epithelial__.2749FE,1,6,1,3,14,3,4,9,3,6,16,9,1,1,5,15,1,Epithelial
RHC5665__Epithelial__.2749FE,1,2,1,3,10,4,3,30,5,9,9,3,1,1,5,11,6,Epithelial
RHC5666__Bcell__.7DEA7B,1,1,1,3,2,7,4,18,1,2,4,9,2,1,7,2,3,Bcell
RHC5698__Epithelial__.2749FE,1,1,1,3,3,7,4,9,3,11,0,9,1,1,7,15,3,Epithelial
RHC5699__Tcell__.C6E879,39,4,4,4,1,6,4,20,4,1,18,5,2,6,5,1,1,Tcell
RHC5701__Epithelial__.2749FE,1,1,1,5,8,5,3,10,1,2,0,12,2,1,7,2,3,Epithelial
RHC5702__Tcell__.C6E879,36,4,4,4,1,6,4,20,4,1,18,5,2,6,5,1,5,Tcell
RHC5704__Epithelial__.2749FE,1,3,2,3,2,4,4,18,3,3,0,9,1,1,1,2,2,Epithelial
RHC5707__Epithelial__.2749FE,1,1,9,2,8,1,5,13,3,8,1,6,1,5,1,14,3,Epithelial
RHC5710__Epithelial__.2749FE,1,3,1,3,2,5,4,18,6,4,0,9,1,1,5,2,1,Epithelial
RHC5711__Bcell__.7DEA7B,1,1,4,4,9,1,5,13,1,3,13,6,2,2,7,12,6,Bcell
RHC5714__Epithelial__.2749FE,1,1,1,3,2,7,3,12,5,3,0,9,1,1,1,2,3,Epithelial
RHC5716__Epithelial__.2749FE,1,1,9,2,11,1,5,13,3,3,20,6,1,2,7,14,3,Epithelial
RHC5718__Tcell__.C6E879,1,2,1,4,14,7,4,23,1,2,13,9,2,1,7,1,1,Tcell
RHC5764__Epithelial__.2749FE,1,3,1,3,3,7,4,18,5,11,2,9,1,1,6,2,2,Epithelial
RHC5765__Epithelial__.2749FE,1,3,1,3,3,4,4,9,5,11,5,9,1,1,6,2,3,Epithelial
RHC5768__Epithelial__.2749FE,1,2,9,1,10,4,7,4,3,9,20,2,2,2,5,7,5,Epithelial
RHC5783__Epithelial__.2749FE,1,3,1,3,10,4,3,30,5,11,12,9,1,1,4,1,3,Epithelial
RHC5790__Epithelial__.2749FE,1,3,1,3,9,3,4,12,1,2,10,9,4,1,7,1,6,Epithelial
RHC5801__Tcell__.C6E879,1,3,1,3,3,7,4,18,3,1,0,9,1,1,6,1,2,Tcell
RHC5808__Epithelial__.2749FE,1,3,1,3,3,3,4,18,5,3,0,9,1,1,2,2,3,Epithelial
RHC5810__Tcell__.C6E879,1,1,1,4,3,7,4,23,1,2,10,9,2,1,7,1,1,Tcell
RHC5811__Macrophage__.FFFF55,1,1,5,4,5,2,2,2,6,3,13,14,4,7,7,1,5,Macrophage
RHC5814__Tcell__.C6E879,1,3,1,3,3,7,4,9,5,2,2,9,2,1,7,1,1,Tcell
RHC5815__Epithelial__.2749FE,24,1,9,1,4,3,6,5,2,2,1,4,4,2,7,4,4,Epithelial
RHC5816__Epithelial__.2749FE,1,4,1,3,2,2,3,9,1,2,9,9,1,1,7,2,3,Epithelial
RHC5827__Tcell__.C6E879,1,4,4,4,5,6,4,20,3,3,8,5,3,6,5,1,1,Tcell
RHC5831__Epithelial__.2749FE,1,3,1,3,3,7,4,18,5,6,0,9,1,1,7,2,3,Epithelial
RHC5834__Macrophage__.FFFF55,1,1,1,3,3,4,4,18,5,1,6,9,1,1,5,2,3,Macrophage
RHC5840__Epithelial__.2749FE,11,3,1,3,11,3,3,12,2,2,2,9,4,1,7,2,3,Epithelial
RHC5879__Epithelial__.2749FE,1,3,1,3,3,3,4,18,3,6,0,9,1,1,5,1,2,Epithelial
RHC5896__Epithelial__.2749FE,24,1,7,5,11,1,5,5,2,3,3,4,4,1,7,6,4,Epithelial
RHC5899__Fibroblast__.FB4E09,1,5,3,3,6,8,2,18,3,1,7,11,1,1,6,1,3,Fibroblast
RHC5906__Epithelial__.2749FE,1,3,1,3,9,3,3,12,3,2,2,9,1,1,2,2,2,Epithelial
RHC5908__Epithelial__.2749FE,1,3,1,3,3,4,4,18,5,2,0,9,1,1,6,2,2,Epithelial
RHC5910__Tcell__.C6E879,1,4,4,4,5,6,4,23,3,1,8,5,2,6,5,1,1,Tcell
RHC5930__Tcell__.C6E879,1,4,4,4,1,6,4,18,5,3,8,9,1,6,5,1,3,Tcell
RHC5967__Tcell__.C6E879,1,4,4,4,1,6,4,23,1,2,0,5,2,6,7,1,1,Tcell
RHC5982__Tcell__.C6E879,1,4,4,4,1,6,4,20,3,1,8,5,1,6,5,1,1,Tcell
RHC5991__Fibroblast__.FB4E09,26,5,3,3,13,8,2,18,4,3,7,11,1,7,1,1,3,Fibroblast
RHC5995__Tcell__.C6E879,36,4,4,4,1,6,4,20,4,1,18,5,1,6,5,1,1,Tcell
RHC5999__Macrophage__.FFFF55,1,5,3,4,13,8,2,7,1,3,17,14,2,7,7,1,1,Macrophage
RHC6004__Tcell__.C6E879,1,4,4,4,1,6,4,20,1,5,0,5,2,6,5,1,1,Tcell
RHC6010__Tcell__.C6E879,1,4,4,4,1,6,4,23,3,1,8,5,2,6,5,1,1,Tcell
RHC6022__Tcell__.C6E879,1,1,2,4,11,3,4,18,3,2,0,9,1,5,2,2,2,Tcell
RHC6030__Fibroblast__.FB4E09,1,5,3,2,13,8,2,7,1,8,15,11,1,3,1,1,3,Fibroblast
RHC6033__Macrophage__.FFFF55,1,5,5,4,13,8,2,7,1,5,6,14,3,7,4,1,1,Macrophage
RHC6039__Tcell__.C6E879,34,4,4,4,1,6,4,23,4,3,18,5,1,6,1,1,1,Tcell
RHC6041__Macrophage__.FFFF55,10,1,1,4,13,2,2,18,2,3,0,14,2,7,7,2,3,Macrophage
RHL2672__Epithelial__.2749FE,1,2,9,1,10,4,7,30,5,9,3,3,1,2,4,7,2,Epithelial
RHL2679__Epithelial__.2749FE,1,2,1,3,7,1,3,18,5,6,16,3,1,1,2,11,2,Epithelial
RHL2701__Epithelial__.2749FE,1,2,8,1,7,1,7,12,3,2,1,4,1,2,2,7,2,Epithelial
RHL2704__Tcell__.C6E879,1,3,2,4,11,1,1,23,5,3,10,4,1,6,2,12,2,Tcell
RHL2716__Epithelial__.2749FE,1,2,6,1,14,1,7,5,3,11,12,4,1,4,4,7,2,Epithelial
RHL2717__Epithelial__.2749FE,1,2,8,1,14,1,7,24,6,5,3,4,1,4,2,7,2,Epithelial
RHL2718__Epithelial__.2749FE,1,2,8,1,7,1,7,12,5,2,20,4,1,2,2,11,2,Epithelial
RHL2723__Epithelial__.2749FE,1,1,8,1,11,1,7,24,3,3,3,4,1,4,2,7,2,Epithelial
RHL2724__Epithelial__.2749FE,1,2,8,1,11,1,7,24,6,3,1,4,1,2,1,7,2,Epithelial
RHL2733__Epithelial__.2749FE,1,2,8,1,11,1,7,24,3,2,12,4,1,4,2,7,2,Epithelial
RHL2738__Epithelial__.2749FE,24,1,8,2,11,1,7,12,2,2,2,4,1,2,2,7,2,Epithelial
RHL2747__Epithelial__.2749FE,1,2,8,1,14,1,7,5,6,5,16,4,1,4,1,7,2,Epithelial
RHL2749__Epithelial__.2749FE,1,1,8,2,8,1,7,24,1,3,1,4,1,2,1,7,2,Epithelial
RHL2752__Tcell__.C6E879,1,4,4,4,1,6,4,23,5,1,18,5,1,6,5,1,3,Tcell
RHL2753__Epithelial__.2749FE,1,2,1,4,2,1,3,18,5,12,16,3,1,1,2,13,2,Epithelial
RHL2758__Epithelial__.2749FE,1,2,8,1,2,1,7,5,5,12,4,4,1,4,1,7,3,Epithelial
RHL2759__Epithelial__.2749FE,1,2,8,1,11,1,7,24,5,6,1,4,1,2,1,7,3,Epithelial
RHL2762__Macrophage__.FFFF55,1,1,5,4,1,6,2,2,1,5,13,14,1,7,1,1,1,Macrophage
RHL2765__Epithelial__.2749FE,1,2,8,1,2,1,7,24,5,5,2,4,1,2,1,7,2,Epithelial
RHL2766__Epithelial__.2749FE,1,1,8,2,8,1,7,5,1,2,0,4,1,2,7,7,3,Epithelial
RHL2767__Epithelial__.2749FE,1,2,8,1,14,1,7,17,5,5,4,4,1,4,5,7,6,Epithelial
RHL2768__Epithelial__.2749FE,1,1,8,1,2,1,7,5,5,5,1,4,1,4,1,7,3,Epithelial
RHL2769__Epithelial__.2749FE,1,1,8,1,9,1,7,24,5,3,0,4,1,2,7,7,3,Epithelial
RHL2770__Epithelial__.2749FE,1,1,8,1,8,1,7,5,5,3,2,4,1,4,7,7,3,Epithelial
RHL2773__Epithelial__.2749FE,1,1,6,1,14,1,7,17,5,5,4,4,1,4,1,7,6,Epithelial
RHL2779__Epithelial__.2749FE,1,2,9,1,10,1,7,30,5,9,14,3,1,2,1,7,3,Epithelial
RHL2780__Epithelial__.2749FE,1,2,8,1,2,1,7,24,5,12,1,4,1,2,1,7,3,Epithelial
RHL2781__Epithelial__.2749FE,1,1,8,1,2,1,7,5,6,5,16,4,1,2,1,7,3,Epithelial
RHL2786__Bcell__.7DEA7B,1,2,2,4,11,1,4,23,5,1,17,13,1,6,4,1,2,Bcell
RHL2788__Epithelial__.2749FE,1,1,1,2,2,1,3,9,5,2,0,9,1,1,2,13,2,Epithelial
RHL2789__Epithelial__.2749FE,1,2,8,1,2,1,7,24,5,2,2,4,1,2,5,7,2,Epithelial
RHL2791__Epithelial__.2749FE,1,2,8,1,2,1,7,5,5,6,14,4,1,2,1,7,3,Epithelial
