"name"	"dataset"	"algorithm"	"F.Mean"	"F.Low"	"F.High"	"Rec.Mean"	"Rec.Low"	"Rec.High"	"Prec.Mean"	"Prec.Low"	"Prec.High"	"Rank"	"score"
"x.172"	"tm-Cell_BLAST"	"tm"	"Cell_BLAST"	0.74	0.73	0.76	"0.79"	"0.77"	"0.8"	"0.79"	"0.74"	"0.83"	17	18
"x.173"	"tm-SingleCellNet"	"tm"	"SingleCellNet"	0.99	0.99	1	"0.99"	"0.99"	"1"	"0.99"	"0.99"	"1"	5	5
"x.174"	"tm-LAmbDA"	"tm"	"LAmbDA"	0.96	0.95	0.96	"0.95"	"0.94"	"0.96"	"0.97"	"0.96"	"0.97"	12	13.5
"x.175"	"tm-scPred"	"tm"	"scPred"	0.99	0.99	0.99	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	"1"	1	5
"x.176"	"tm-CaSTLe"	"tm"	"CaSTLe"	0.99	0.99	0.99	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	8	5
"x.177"	"tm-CHETAH"	"tm"	"CHETAH"	0.96	0.96	0.97	"0.93"	"0.93"	"0.94"	"0.99"	"0.99"	"1"	14	13.5
"x.178"	"tm-scID"	"tm"	"scID"	0.75	0.73	0.76	"0.66"	"0.64"	"0.67"	"0.98"	"0.97"	"0.98"	20	17
"x.179"	"tm-scmapcell"	"tm"	"scmapcell"	0.84	0.83	0.85	"0.81"	"0.79"	"0.82"	"0.93"	"0.92"	"0.94"	15	16
"x.180"	"tm-scmapcluster"	"tm"	"scmapcluster"	0.37	0.35	0.38	"0.35"	"0.34"	"0.37"	"0.85"	"0.84"	"0.87"	21	26
"x.181"	"tm-singleR"	"tm"	"singleR"	0.99	0.99	0.99	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	"0.99"	6	5
"x.182"	"vg-cibersort"	"vg"	"cibersort"	0.39	0.38	0.39	"0.44"	"0.44"	"0.45"	"0.52"	"0.51"	"0.53"	23	22
"x.183"	"vg-gsea"	"vg"	"gsea"	0.31	0.3	0.31	"0.34"	"0.33"	"0.34"	"0.39"	"0.38"	"0.4"	22	24
"x.184"	"vg-gsva"	"vg"	"gsva"	0.71	0.71	0.72	"0.72"	"0.71"	"0.72"	"0.78"	"0.77"	"0.78"	19	13.5
"x.185"	"vg-metaneighbor"	"vg"	"metaneighbor"	0.71	0.7	0.71	"0.72"	"0.71"	"0.72"	"0.77"	"0.77"	"0.78"	24	13.5
"x.186"	"vg-ora"	"vg"	"ora"	0.35	0.34	0.36	"0.43"	"0.42"	"0.43"	"0.34"	"0.34"	"0.35"	18	23
"x.187"	"vg-adobo"	"vg"	"adobo"									25	25.5
"x.188"	"vg-sccatch"	"vg"	"sccatch"										26	25.5
"x.189"	"vg-SVM"	"vg"	"SVM"	0.86	0.85	0.86	"0.86"	"0.85"	"0.86"	"0.86"	"0.85"	"0.86"	2	3
"x.190"	"vg-SVMrej"	"vg"	"SVMrej"	0.8	0.79	0.8	"0.69"	"0.69"	"0.7"	"0.95"	"0.95"	"0.95"	7	7
"x.191"	"vg-RF"	"vg"	"RF"	0.79	0.79	0.8	"0.8"	"0.8"	"0.81"	"0.81"	"0.81"	"0.82"	9	8
"x.192"	"vg-LDA"	"vg"	"LDA"	0.6	0.6	0.61	"0.6"	"0.6"	"0.61"	"0.61"	"0.61"	"0.62"	10	18
"x.193"	"vg-LDArej"	"vg"	"LDArej"	0.6	0.6	0.61	"0.6"	"0.59"	"0.6"	"0.62"	"0.61"	"0.62"	11	18
"x.194"	"vg-NMC"	"vg"	"NMC"	0.6	0.59	0.61	"0.59"	"0.58"	"0.6"	"0.68"	"0.67"	"0.69"	16	18
"x.195"	"vg-kNN9"	"vg"	"kNN9"	0.73	0.73	0.74	"0.73"	"0.73"	"0.74"	"0.75"	"0.74"	"0.75"	13	11.5
"x.196"	"vg-ACTINN"	"vg"	"ACTINN"	0.85	0.85	0.86	"0.85"	"0.85"	"0.86"	"0.85"	"0.85"	"0.86"	4	5.5
"x.197"	"vg-scVI"	"vg"	"scVI"	0.9	0.9	0.9	"0.9"	"0.9"	"0.9"	"0.9"	"0.9"	"0.9"	3	1
"x.198"	"vg-Cell_BLAST"	"vg"	"Cell_BLAST"	0.77	0.76	0.77	"0.73"	"0.72"	"0.73"	"0.82"	"0.81"	"0.83"	17	9
"x.199"	"vg-SingleCellNet"	"vg"	"SingleCellNet"	0.86	0.85	0.86	"0.86"	"0.85"	"0.86"	"0.86"	"0.85"	"0.86"	5	3
"x.200"	"vg-LAmbDA"	"vg"	"LAmbDA"	0.74	0.73	0.74	"0.74"	"0.73"	"0.75"	"0.75"	"0.74"	"0.75"	12	10
"x.201"	"vg-scPred"	"vg"	"scPred"	0.86	0.86	0.87	"0.82"	"0.82"	"0.83"	"0.91"	"0.91"	"0.92"	1	3
"x.202"	"vg-CaSTLe"	"vg"	"CaSTLe"	0.85	0.84	0.85	"0.85"	"0.85"	"0.86"	"0.85"	"0.85"	"0.86"	8	5.5
"x.203"	"vg-CHETAH"	"vg"	"CHETAH"	0.67	0.67	0.68	"0.57"	"0.57"	"0.58"	"0.83"	"0.83"	"0.84"	14	15
"x.204"	"vg-scID"	"vg"	"scID"	0.41	0.4	0.42	"0.34"	"0.33"	"0.35"	"0.63"	"0.62"	"0.63"	20	21
"x.205"	"vg-scmapcell"	"vg"	"scmapcell"	0.66	0.66	0.67	"0.52"	"0.52"	"0.53"	"0.9"	"0.9"	"0.91"	15	16
"x.206"	"vg-scmapcluster"	"vg"	"scmapcluster"	0.55	0.54	0.56	"0.44"	"0.43"	"0.44"	"0.82"	"0.82"	"0.83"	21	20
"x.207"	"vg-singleR"	"vg"	"singleR"	0.73	0.72	0.74	"0.72"	"0.71"	"0.72"	"0.8"	"0.8"	"0.81"	6	11.5
